title,url,stage,day,time,lfm_id
Lekiddo - Lord Of The Lobsters!,http://www.lekiddo.com,THE SUMMER HOUSE,FRIDAY,13:15 - 13:45,47245508
Lekiddo - Lord Of The Lobsters,http://www.lekiddo.com,AVALON CAFÉ STAGE,SATURDAY,17:30 - 18:15,67244771
Lenkemz,https://soundcloud.com/lenkemz,SALON CAROUSEL,FRIDAY,00:00 - 01:00,58314582
Leon Bridges,http://www.leonbridges.com/,JOHN PEEL STAGE,FRIDAY,14:00 - 14:40,92515854
Leon Vynehall,https://www.facebook.com/LeonVynehall,WOW!,FRIDAY,20:30 - 22:00,74387027
Les Bubb,,THE SUMMER HOUSE,FRIDAY,17:00 - 17:20,18133142
Lewah,http://www.facebook.com/djlewah,GLADE,FRIDAY,14:45 - 15:25,62890529
Lianne La Havas,http://www.liannelahavas.com/splash/splashpage_6,JOHN PEEL STAGE,SUNDAY,19:05 - 20:05,50092407
Lindsey,,DELUXE DINER,Saturday,00:00 - 02:00,10206551
Lionel Richie,http://lionelrichie.com,PYRAMID STAGE,SUNDAY,16:00 - 17:15,1009031
Live Band,,WILLIAM'S GREEN,THURSDAY,22:30 - 23:30,16541770
LIVING IN A DISCO,,THE BEAT HOTEL,THURSDAY,12:00 - 13:30,48688819
Loefah,,LONDON UNDERGROUND,SATURDAY,03:15 - 04:45,6796702
London Elektricity,http://londonelektricity.com/,THE SPACEPORT,FRIDAY,00:00 - 01:00,1049675
LoneLady,http://concrete-retreat.tumblr.com/,WILLIAM'S GREEN,FRIDAY,12:30 - 13:10,12368630
Long Shen Dao,https://www.facebook.com/longshendao,GULLY,SUNDAY,17:45 - 18:45,67227346
Longy,,THE BREAD AND ROSES,FRIDAY,23:00 - 23:45,1019150
Loonaloop,http://www.loonaloopmusic.com,SMALL WORLD STAGE,FRIDAY,23:15 - 00:30,6607510
Los Excentricos,http://www.losexcentricos.com/index.php/en/,THE ASTROLABE THEATRE,FRIDAY,19:30 - 20:40,34253754
Loyle Carner,http://www.loylecarner.com/,BBC INTRODUCING,FRIDAY,15:15 - 15:40,85158178
Lucas,https://www.facebook.com/lucasandking?fref=ts,ACOUSTIC STAGE,SUNDAY,12:00 - 12:30,1013251
Lucy Kitchen,http://lucykitchen.com/,JOHN PEEL STAGE,SUNDAY,11:00 - 11:20,20333623
Luke Howard,,NYC DOWNLOW,SUNDAY,03:00 - 05:00,2101268
Luke Solomon,,NYC DOWNLOW,FRIDAY,22:00 - 00:30,1299048
Luke Wright,http://www.lukewright.co.uk,CABARET,SATURDAY,20:35 - 21:05,10585496
Lulu,http://www.luluofficial.com/,AVALON STAGE,FRIDAY,18:45 - 19:45,5634
Lyza Jane,https://soundcloud.com/lyza-jane,RABBIT HOLE,THURSDAY,17:00 - 17:30,83885752
M.O,http://www.officialmo.com/,LA PUSSY PARLURE,FRIDAY,21:00 - 22:00,14186484
Maceo Plex,,ARCADIA,FRIDAY,23:30 - 00:30,61792629
MacPherson,,LONDON UNDERGROUND,WEDNESDAY,01:45 - 03:00,14445253
Mad Apple Circus,,THE HOUSE OF COME ONS,SUNDAY,00:15 - 01:30,66013098
mad cows,https://soundcloud.com/themadcows,RABBIT HOLE,SATURDAY,00:00 - 01:15,12782974
Mad Dog McCrea,,CROISSANT NEUF BANDSTAND,THURSDAY,17:15 - 18:00,16627751
Mad Dog Mcrea,http://www.maddogmcrea.co.uk,THE BANDSTAND,FRIDAY,18:20 - 19:10,12386109
Madame Electrifie,,THE HOUSE OF COME ONS,SATURDAY,05:00 - 06:00,76327565
Maid of Ace,http://www.maid-of-ace.com/,BBC INTRODUCING,SATURDAY,13:30 - 13:55,53017970
MAK,,THE DOWNLOW RADIO,SUNDAY,01:30 - 03:00,1261044
MAMADOO,http://mamadoo.pl,A LITTLE MORE SENSATION,FRIDAY,00:00 - 00:20,62601419
Man Power,,THE BEAT HOTEL,THURSDAY,16:30 - 18:15,1178470
Manaia,,GULLY,FRIDAY,12:15 - 13:15,11577329
Manasseh,https://soundcloud.com/rootsgarden7/sets/nick-manasseh,GLADE LOUNGE,SUNDAY,21:00 - 22:30,1184350
Mandidextrous,https://soundcloud.com/mandidextroustnt,SALON CAROUSEL,SATURDAY,02:00 - 03:00,64172018
Mann Friday,http://mannfriday.com/,RABBIT HOLE,SUNDAY,18:30 - 19:30,2140889
Marc O' Reilly,,GREENPEACE,FRIDAY,13:30 - 14:20,78850828
Marc O'Reilly,http://www.marcoreillymusic.com/,THE BREAD AND ROSES,THURSDAY,20:30 - 21:00,65578092
Marcos Valle,http://www.allmusic.com/artist/marcos-valle-mn0000954817,WEST HOLTS,FRIDAY,14:30 - 15:30,5645
Marcus,,ANCIENT FUTURES,SUNDAY,14:00 - 15:30,1131718
Marcus Brigstocke,,CABARET,FRIDAY,12:05 - 12:35,6995957
Marcus Intalex,,LONDON UNDERGROUND,FRIDAY,03:00 - 04:30,3833
Mark Archer,http://markarcher.co.uk/,THE CAVE,SATURDAY,02:00 - 03:00,11010376
Mark Copeland,,THE BREAD AND ROSES,THURSDAY,18:00 - 18:30,13328981
Mark E,http://ghostly.com/artists/mark-e,THE BEAT HOTEL,FRIDAY,20:00 - 21:30,11805778
Mark Ronson,http://www.markronson.co.uk/,OTHER STAGE,FRIDAY,21:00 - 22:00,1188014
Martha Tilston,http://www.marthatilston.co.uk,SMALL WORLD STAGE,SATURDAY,14:45 - 16:00,6918284
Martha,https://marthadiy.bandcamp.com/,LEFT FIELD,FRIDAY,18:00 - 19:00,1269748
Mary J. Blige,http://maryjblige.com,PYRAMID STAGE,FRIDAY,16:00 - 17:00,2536
Matt 'Jam' Lamont,http://www.mattjam.com/biography,WOW!,SATURDAY,23:00 - 00:00,26804058
Matt Black,,THE TEMPLE,THURSDAY,22:00 - 23:00,1249870
Matt Kirshen,http://www.mattkishen.com,CABARET,FRIDAY,20:15 - 20:45,22336484
Matt Pond,,GENOSYS,SATURDAY,16:00 - 17:30,2159201
Matt Richardson,http://www.mattrichardsoncomedy.co.uk,CABARET,FRIDAY,22:55 - 23:25,15461304
Matt Sewell,,FREE UNIVERSITY OF GLASTONBURY,SUNDAY,15:00 - 15:45,48150706
Matthew And Me,http://matthewandme.co.uk/,BBC INTRODUCING,FRIDAY,13:00 - 13:25,75909645
Matthew Herbert,,FREE UNIVERSITY OF GLASTONBURY,SATURDAY,13:00 - 13:45,5233
Matty Skylab,https://www.mixcloud.com/mattyskylab/,JAG'Z ACID LOUNGE,FRIDAY,23:00 - 01:30,20972136
Mauro Paganini,http://www.mauropaganini.com,CROONER'S CORNER,FRIDAY,14:20 - 14:50,45747761
Mavis Staples,http://mavisstaples.com/,THE PARK STAGE,SATURDAY,20:00 - 21:00,1003194
Max Pashm,,ANCIENT FUTURES,SUNDAY,00:30 - 01:30,10005469
Maz O’Connor,http://www.eliseyouill.com,TOAD HALL,FRIDAY,14:30 - 15:30,81849107
Meadowlark,http://meadowlarkofficial.tumblr.com/,BBC INTRODUCING,SUNDAY,18:50 - 19:15,14207456
Meat Market,,THE BANDSTAND,FRIDAY,15:00 - 15:40,11546135
Mel,http://www.tarantism.co.uk/,SMALL WORLD STAGE,SUNDAY,14:45 - 15:45,6888934
Mella Dee,,BABYLON UPRISING,FRIDAY,00:00 - 01:00,58742120
Meltdown Mickey,https://soundcloud.com/mickey-meltdown,THE TEMPLE,FRIDAY,05:00 - 06:00,12974591
Men In Coats,http://www.menincoats.co.uk,CABARET,FRIDAY,23:40 - 00:10,47187285
Mendetz,https://www.facebook.com/pages/MENDETZ/24607185354,GULLY,SATURDAY,18:45 - 20:00,10985340
Menendez Brothers,,TOLPUDDLE,THURSDAY,19:00 - 21:00,52429833
Mercadonegro,http://www.bibomusic.com/component/content/article/35-artists/62-mercadonegro.html,GLASTO LATINO,FRIDAY,00:00 - 01:30,11099507
Merry McCloud,http://www.merrymcloud.com,TOAD HALL,FRIDAY,18:35 - 19:30,69320256
Mic Lowry,http://miclowry.com/,BBC INTRODUCING,SUNDAY,16:30 - 16:55,18475671
Michael Campari,,SENSATION SEEKERS STAGE,FRIDAY,17:50 - 18:35,60658696
Michael Clark Company,http://www.michaelclarkcompany.com,THE ASTROLABE THEATRE,FRIDAY,14:15 - 14:45,98984530
Michael Eavis,,SPEAKERS FORUM,SUNDAY,16:00 - 17:00,45559781
Mickey Finn,https://www.facebook.com/djmickyfinn,THE TEMPLE,SATURDAY,03:00 - 04:00,1036189
Midland,,NYC DOWNLOW,SUNDAY,22:00 - 00:00,10788739
mik artistic,http://www.mikartistik.com/,THE ROCKET LOUNGE,Thursday,20:00 - 21:00,18050578
Mik Artistik's Ego Trip,http://www.mikartistik.com/,THE SUMMER HOUSE,FRIDAY,16:10 - 16:40,18892312
Mike Garry,http://mikegarry.co.uk,CABARET,SATURDAY,20:00 - 20:30,53995620
Mike Pickering,https://www.mixcloud.com/tag/mike-pickering/,BEZ'S ACID HOUSE,SATURDAY,01:00 - 02:00,7021289
miles cleret,http://www.soundwayrecords.com,HMS SWEET CHARITY,FRIDAY,04:00 - 05:00,33362826
Milky Chance,http://www.milkychanceofficial.com/,GULLY,SUNDAY,22:45 - 00:00,78261751
Milly Hirst,http://millyhirst.co.uk/,BBC INTRODUCING,FRIDAY,16:45 - 17:10,43615975
Mini Da Minx,http://www.residentadvisor.net/dj/minidaminx,THE SPACEPORT,SUNDAY,20:00 - 21:00,15313437
Mini Mansions,http://www.minimansionsmusic.com,RABBIT HOLE,SUNDAY,22:00 - 23:00,49439860
Miss Pink,,THE CAVE,SUNDAY,03:00 - 04:00,14003858
Mistafire,,BABYLON UPRISING,FRIDAY,18:00 - 19:00,90472639
Mixmaster Morris,http://www.mixmastermorris.com,GLADE LOUNGE,THURSDAY,18:00 - 19:30,1097534
Mixnots,,HEDS PARTY IN SONIC,FRIDAY,01:00 - 07:00,82915534
MJEM-RIDZ,,TOLPUDDLE,THURSDAY,23:00 - 01:30,64333973
Mo'kalamity,http://www.mokalamity.com/,GULLY,FRIDAY,18:15 - 19:30,16158749
Mod,,BBC INTRODUCING,SATURDAY,12:00 - 12:25,1073318
Modestep,http://www.modestep.com/,JOHN PEEL STAGE,FRIDAY,21:15 - 22:15,54352265
Moleskin,,BABYLON UPRISING,SUNDAY,21:00 - 22:30,11147130
Molotov Jukebox,http://www.molotov-jukebox.co.uk/,AVALON STAGE,FRIDAY,21:45 - 22:45,48014705
Monkey Pilot,http://www.whirl-y-gig.org.uk/,GLADE,SATURDAY,14:10 - 14:40,10955419
Monki,,BBC INTRODUCING,THURSDAY,23:00 - 00:30,11835041
Mortisville,,THE HOUSE OF COME ONS,FRIDAY,01:00 - 02:00,52534362
MotÖrhead,http://imotorhead.com,PYRAMID STAGE,FRIDAY,17:30 - 18:30,2083418
Moulettes,http://www.moulettes.co.uk/,AVALON STAGE,SATURDAY,14:15 - 15:15,12881191
Moxie,http://djmoxie.com/,THE BEAT HOTEL,SATURDAY,19:30 - 21:00,1110518
Mr G,,GENOSYS,SUNDAY,23:00 - 00:00,1167756
MTC,,SALON CAROUSEL,SATURDAY,05:00 - 06:00,1272102
Mumdance,,WOW!,SUNDAY,00:00 - 01:00,31721455
Mungo's HiFi,http://www.mungoshifi.net/,THE BLUES,FRIDAY,23:30 - 01:00,6897550
Murray Lachlan Young,,THE SUMMER HOUSE,SUNDAY,11:00 - 11:45,1071619
Mushy,,BEZ'S ACID HOUSE,SUNDAY,23:00 - 05:00,10413751
Mushy,,BABYLON UPRISING,FRIDAY,23:00 - 00:00,10413751
MUTe,http://www.mutemime.com,THE SUMMER HOUSE,FRIDAY,13:50 - 14:20,1063771
My Baby,,THE HOUSE OF COME ONS,SUNDAY,22:00 - 23:00,10317096
My Bad Sister,http://mybadsister.com/,SALON CAROUSEL,FRIDAY,23:00 - 00:00,70978031
My Darling Clementine,http://mydarlingclementinemusic.co.uk/,ACOUSTIC STAGE,FRIDAY,13:40 - 14:20,31815185
My Nu Leng,http://www.black-butter.co.uk/my-nu-leng/,THE BLUES,SATURDAY,18:00 - 19:30,64678213
My Skin Against Your Skin,https://www.facebook.com/msaysband,LA PUSSY PARLURE,FRIDAY,15:00 - 16:00,49532861
Nacho,,NYC DOWNLOW,WEDNESDAY,20:00 - 22:00,1248090
Nadine Shah,http://nadineshah.co.uk/main/,WILLIAM'S GREEN,SATURDAY,11:30 - 12:10,43412153
Nao,,BBC INTRODUCING,SUNDAY,17:15 - 17:40,1331274
Nathan,,DELUXE DINER,Sunday,15:00 - 17:00,1172151
Nathan,,DELUXE DINER,Wednesday,00:00 - 01:30,1172151
Nathan Ball,http://www.nathanball.com/,SMALL WORLD STAGE,SUNDAY,02:15 - 03:00,9934044
Nathan Caton,http://www.nathancaton.com,CABARET,SATURDAY,15:35 - 16:05,12850631
Neil Landstrumm,https://soundcloud.com/neil-landstrumm,THE TEMPLE,FRIDAY,01:00 - 02:00,1041511
Neville Staple Band,http://www.originalrudeboy.co.uk/,AVALON STAGE,SATURDAY,23:15 - 00:25,45588993
New York Brass Band,,THE HOUSE OF COME ONS,SATURDAY,01:00 - 02:00,77528129
New York Jazz Band,,GREENPEACE,THURSDAY,13:00 - 13:45,77220110
Newham Generals,http://www.newhamgenerals.com/,THE BLUES,SATURDAY,17:00 - 18:00,10068194
Nic Fanciulli,http://www.nicfanciulli.com/,GLADE,THURSDAY,22:00 - 00:30,1063416
Nick Doody,,CABARET,SATURDAY,17:25 - 17:55,34625926
Nick Frew,,DELUXE DINER,Friday,02:30 - 04:00,45242477
Nick Harper,http://www.harperspace.com,TOAD HALL,FRIDAY,21:00 - 22:00,2059264
Nick Hollywood,http://fingerlickinmanagement.co.uk/nick-hollywood/,HEAVEN,SUNDAY,23:00 - 00:00,13877504
"Nick Lowe, Paul Carrack",https://www.facebook.com/AndyFairweatherLowAndTheLowRiders/posts/836437989750861,ACOUSTIC STAGE,SATURDAY,20:00 - 21:00,49617430
Nick Navaro,,THE DOWNLOW RADIO,SUNDAY,03:00 - 05:00,88700366
Nick Parker and the False Alarms,http://www.nick-parker.co.uk,AVALON CAFÉ STAGE,FRIDAY,19:30 - 20:30,99162453
Nick Warren,http://www.djnickwarren.com,THE SPACEPORT,SATURDAY,01:30 - 03:00,1018012
Nicky B,,SALON CAROUSEL,FRIDAY,05:00 - 06:00,1305441
Nicky Blackmarket,,LONDON UNDERGROUND,THURSDAY,20:00 - 21:30,1002029
Nizlopi,http://www.nizlopi.com,CROISSANT NEUF,SATURDAY,13:00 - 14:00,2015041
Norman Jay,http://www.normanjaymbe.com/,HEAVEN,SUNDAY,14:00 - 20:00,1058067
Nova Heart,http://nova-heart.com/home/,LA PUSSY PARLURE,FRIDAY,18:00 - 19:00,10579603
October,http://www.octoberrocks.com/,SMALL WORLD STAGE,WEDNESDAY,17:15 - 18:15,1050001
Old Man Corner,http://oldmancorner.co.uk/,THE SPACEPORT,SUNDAY,15:00 - 18:00,83274199
Olivia Chaney,http://www.oliviachaney.net,ACOUSTIC STAGE,SUNDAY,12:45 - 13:20,15720346
Other Lives,http://otherlives.com/,WILLIAM'S GREEN,FRIDAY,14:30 - 15:10,43286363
Oui ja yes,https://www.facebook.com/ouijayes,RABBIT HOLE,FRIDAY,03:00 - 04:00,64426309
OzMoses,http://www.ozmoses.co.uk,BELLA'S FIELD,FRIDAY,18:00 - 18:30,54155706
Palenke Soultribe,http://www.palenkesoultribe.com/,GULLY,SATURDAY,23:00 - 00:30,15300554
Palma Violets,http://www.palmaviolets.co.uk/,WILLIAM'S GREEN,SATURDAY,20:30 - 21:15,76350110
Palms Trax,,THE BEAT HOTEL,SUNDAY,16:00 - 17:30,78335902
Paloma Faith,http://www.palomafaith.com,PYRAMID STAGE,SATURDAY,18:15 - 19:15,14569461
Pan-Pot,,ARCADIA,FRIDAY,00:30 - 01:30,11131744
Para,,THE CAVE,SATURDAY,23:00 - 00:00,1101811
Parris,,LONDON UNDERGROUND,SATURDAY,00:30 - 01:45,2169319
Partok,,NYC DOWNLOW,WEDNESDAY,00:00 - 01:30,16984971
Patrick Topping,https://www.facebook.com/pages/Patrick-Topping/543739625648970,WOW!,THURSDAY,20:30 - 22:00,68440948
Patti Smith,http://www.pattismith.net/intro.html,PYRAMID STAGE,SUNDAY,14:15 - 15:15,1264
Paul Currie,http://www.mrpaulcurrie.com,THE SUMMER HOUSE,FRIDAY,18:50 - 19:20,61909202
Paul Dee,,DELUXE DINER,Thursday,22:00 - 23:30,16137176
Paul Weller,http://paulweller.com,PYRAMID STAGE,SUNDAY,19:30 - 20:45,1265
Paul Woolford,https://www.facebook.com/paulwoolford,GLADE,SATURDAY,21:00 - 22:15,1150687
Paula Varjack,http://www.paulavarjack.com,POETRY&WORDS,FRIDAY,14:55 - 15:15,45481347
Peace,http://www.peaceforeverever.co.uk/,JOHN PEEL STAGE,FRIDAY,17:00 - 18:00,1042416
Pearls Negras,https://www.facebook.com/pearlsnegras,SONIC,SUNDAY,13:30 - 14:30,87970011
Pedram,https://soundcloud.com/pedram1,BEZ'S ACID HOUSE,FRIDAY,01:00 - 02:30,13401158
Perfume Genius,http://perfumegenius.net/,THE PARK STAGE,SUNDAY,18:00 - 19:00,27682474
Pete Fowler,http://petefowler.tumblr.com/,THE BEAT HOTEL,SATURDAY,16:30 - 18:00,13323185
Pete Roe,http://en.wikipedia.org/wiki/Pete_Roe,THE BANDSTAND,SUNDAY,15:00 - 15:40,14501945
Pete The Temp,http://www.petethetemp.co.uk,POETRY&WORDS,SUNDAY,14:55 - 15:20,52575286
Pharrell Williams,http://pharrellwilliams.com,PYRAMID STAGE,SATURDAY,20:00 - 21:15,1200233
Phil Kay,,CABARET,FRIDAY,21:45 - 22:15,17927203
Phil Nichol,,CABARET,FRIDAY,01:25 - 01:55,16929050
Phuture,,GENOSYS,FRIDAY,01:30 - 02:30,1037217
Piney Gir,http://www.pineygir.com/,RABBIT HOLE,SATURDAY,19:00 - 20:00,6611107
Placid,,GENOSYS,FRIDAY,19:30 - 21:00,1064174
Plume,,THE SPIKE,SUNDAY,14:00 - 16:00,1195300
Pogo,http://www.nanomusic.net/artists,GLADE LOUNGE,SATURDAY,22:00 - 23:45,6866929
Point G,,NYC DOWNLOW,FRIDAY,02:00 - 02:55,11572109
Pony Montana,,THE HOUSE OF COME ONS,FRIDAY,04:00 - 05:00,45831218
Porky The Poet,,POETRY&WORDS,SATURDAY,17:25 - 18:05,14368867
Pretty Vicious,https://www.facebook.com/Prettyviciousuk,BBC INTRODUCING,SATURDAY,19:00 - 19:25,12816073
Prides,http://pridesband.com/,JOHN PEEL STAGE,SUNDAY,14:40 - 15:20,70554573
Princess Slayer,http://www.princessslayer.com/,BBC INTRODUCING,SUNDAY,12:00 - 12:25,86872750
Producer,,SALON CAROUSEL,SUNDAY,02:00 - 03:00,1121680
Professor Elemental,http://www.professorelemental.com,SENSATION SEEKERS STAGE,FRIDAY,13:40 - 14:10,27761127
Profetas,http://www.profetas.com.co/,GULLY,SUNDAY,14:45 - 15:45,12033402
Pronghorn,,THE ROCKET LOUNGE,Wednesday,21:00 - 23:00,6912898
Prosumer,,GENOSYS,SATURDAY,01:30 - 03:00,10170667
Public Service Broadcasting,http://publicservicebroadcasting.net/,GLADE,SATURDAY,22:55 - 00:25,53594755
Pyramids of SNAFU,http://www.pyramidsofsnafu.com/,MANDALA STAGE,THURSDAY,00:00 - 01:00,11781434
Quivver,http://www.residentadvisor.net/dj/quivver,GLADE,SATURDAY,01:45 - 02:55,1042744
Rach Speakeasy,,DELUXE DINER,Wednesday,04:30 - 06:00,65885618
Rachel EC,,THE CAVE,THURSDAY,22:00 - 23:00,80551312
Rachel Rose Reid,http://www.rosycarrick.co.uk,POETRY&WORDS,FRIDAY,12:05 - 12:25,74104862
Radikal Guru,http://www.radikalguru.com/,THE CAVE,FRIDAY,02:00 - 03:00,36149938
RadioKillaZ,https://soundcloud.com/rkz_recordings,THE TEMPLE,SATURDAY,23:00 - 00:00,17166313
Rae Morris,http://www.raemorris.co.uk/,THE PARK STAGE,SUNDAY,14:00 - 14:45,60996497
Rag' n' Bone Man,http://www.ragnbonemanmusic.com/,THE PARK STAGE,SUNDAY,11:00 - 11:40,99325072
Raghu Dixit,http://raghudixit.com/,AVALON STAGE,FRIDAY,15:45 - 16:45,14766662
Rainy Boy Sleep,http://www.rainyboysleep.com/,JOHN PEEL STAGE,FRIDAY,13:00 - 13:40,60337385
Raleigh Ritchie,http://www.raleighritchie.com/,GULLY,SUNDAY,20:45 - 22:00,84135057
Ramona Flowers,http://www.theramonaflowersmusic.com/,RABBIT HOLE,FRIDAY,01:30 - 02:30,67054895
Ravi,,ANCIENT FUTURES,SATURDAY,21:30 - 23:00,1275995
Real Lies,http://reallies.co.uk/,WOW!,FRIDAY,18:00 - 19:00,19238332
Rebel Bingo,http://rebelbingo.com,THE BREAD AND ROSES,FRIDAY,17:00 - 18:00,79687684
Red Eye Hi Fi,http://www.boomartistsagency.com/artist-a-z/red-eye-hifi/,THE SPACEPORT,THURSDAY,15:00 - 16:30,84801361
Red Sky July,http://redskyjuly.com/,ACOUSTIC STAGE,FRIDAY,14:30 - 15:10,47872068
Redlight,,ARCADIA,SUNDAY,20:00 - 21:30,1117586
Reggae Roast,http://www.reggaeroast.co.uk/,THE RUM SHACK,FRIDAY,04:00 - 05:00,42708462
Rene LaVice,http://www.renelavice.com/#intro,WOW!,SATURDAY,18:00 - 19:00,57849682
Reverend Rockwell,,THE HOUSE OF COME ONS,THURSDAY,22:00 - 23:00,87711658
Rhodes,http://www.rhodesmusic.co.uk/,THE PARK STAGE,FRIDAY,11:00 - 11:40,6938247
Rhythmites,http://www.rhythmites.com,CROISSANT NEUF,SUNDAY,23:30 - 00:30,13874651
Ricardo Lemvo y Makina Loca,http://www.makinaloca.com/,GLASTO LATINO,SUNDAY,23:30 - 01:00,33161968
Richard Norris,http://richardnorris.dj,JAG'Z ACID LOUNGE,FRIDAY,04:00 - 06:00,17396861
Richy Ahmed,http://richyahmed.com/,THE SPACEPORT,SATURDAY,00:00 - 01:30,63218447
Rita Satch,http://www.ritasatch.com/,LA PUSSY PARLURE,SATURDAY,23:30 - 00:30,54003903
Rival Sons,http://www.rivalsons.com/,OTHER STAGE,SUNDAY,11:00 - 11:40,50712474
Rob Beckett,http://www.robbeckettcomedy.com,CABARET,FRIDAY,00:50 - 01:20,51310223
Rob Da Bank,,HEAVEN,FRIDAY,00:00 - 01:00,1114133
Rob Heron,http://www.teapadorchestra.co.uk,THE BANDSTAND,THURSDAY,19:30 - 20:30,28462856
robbo ranx,http://robboranx.com/,THE BLUES,FRIDAY,19:00 - 21:00,10470142
Robert Hood,,GENOSYS,SUNDAY,01:30 - 03:30,1640
Robert Llwellyn,,FREE UNIVERSITY OF GLASTONBURY,SATURDAY,13:00 - 13:45,59007862
Robyn Sherwell,http://robynsherwell.com/,BBC INTRODUCING,SATURDAY,14:15 - 14:40,58404573
Rod Laver,http://www.rodlaver.co.uk,THE ASTROLABE THEATRE,SATURDAY,12:05 - 12:15,1165374
Rodney Branigan,http://rodneybranigan.com/,AVALON CAFÉ STAGE,FRIDAY,17:30 - 18:15,6705545
Rodney Brannigan,http://www.rodneybranigan.com/,SMALL WORLD STAGE,WEDNESDAY,16:00 - 17:00,43876328
Ron Sexsmith,http://www.ronsexsmith.com/,ACOUSTIC STAGE,SUNDAY,15:25 - 16:05,1277
Roni Size Reprazent,http://www.ronisize.net/,SONIC,SATURDAY,19:45 - 20:45,1009770
Room Service,,THE BEAT HOTEL,THURSDAY,10:00 - 12:00,6752320
Rory McLeod,http://www.rorymcleod.com,CROISSANT NEUF,SATURDAY,17:30 - 18:30,1141414
Roy Ayers,http://www.royayers.net/,WEST HOLTS,SUNDAY,19:00 - 20:00,659
Ruby Throat,,THE HOUSE OF COME ONS,SATURDAY,20:00 - 21:00,15675647
Ruby Wax,,SPEAKERS FORUM,SUNDAY,13:00 - 15:00,32724852
Rudimental,http://rudimental.co.uk/wethegeneration/start,OTHER STAGE,FRIDAY,22:30 - 23:45,10481265
Rukhsana Merrise,https://www.facebook.com/rukhsana.merrise,BBC INTRODUCING,SUNDAY,13:30 - 13:55,75693136
Rum Buffalo,http://www.rumbuffalo.bandcamp.com/,SMALL WORLD STAGE,THURSDAY,18:45 - 19:45,82060630
Run the Jewels,http://www.runthejewels.net/,WEST HOLTS,FRIDAY,19:00 - 20:00,83101184
Russ Ryan,,HEDS PARTY IN SONIC,SUNDAY,04:00 - 07:00,57396175
Rusty Shackle,http://storage.googleapis.com/glasto15/artist/m-r/rusty_shackle.jpg,GREENPEACE,SUNDAY,17:00 - 17:40,61508013
Ruth Royall,http://ruthroyall.co.uk/,LA PUSSY PARLURE,SUNDAY,12:45 - 13:45,43224107
Ryan Adams,http://paxamrecords.com/,THE PARK STAGE,SUNDAY,22:30 - 23:45,1278
Sadoo,http://www.sadoomusic.net,TOAD HALL,SATURDAY,18:00 - 18:50,10901720
Sagan Megadrive,,ANCIENT FUTURES,SATURDAY,18:30 - 19:00,79541421
Saint Raymond,http://saintraymond.co.uk/,JOHN PEEL STAGE,SUNDAY,13:40 - 14:20,68685013
Sam Binga,https://www.facebook.com/sambingamusic,WOW!,SATURDAY,21:00 - 22:00,83035981
Sam Brockington,,CROISSANT NEUF BANDSTAND,FRIDAY,14:00 - 14:30,95692194
Sam Duckworth,http://www.samduckworth.co.uk,LEFT FIELD,SUNDAY,19:30 - 20:30,19112059
Sam Piper,https://soundcloud.com/sampipermusic/sets/lucid-dreaming/s-sZL0f,MANDALA STAGE,THURSDAY,16:00 - 17:00,13390766
Samuel Jack,http://www.samueljackoficial.com,AVALON CAFÉ STAGE,WEDNESDAY,18:30 - 19:15,91954397
Sara Hirsch,http://www.sarahirsch.wordpress.com,POETRY&WORDS,FRIDAY,15:20 - 15:40,63237602
SBTRKT,http://sbtrkt.com/,JOHN PEEL STAGE,FRIDAY,19:45 - 20:45,48706345
Scamp,https://soundcloud.com/scamp,SALON CAROUSEL,SATURDAY,04:00 - 05:00,2002874
Scottee,,NYC DOWNLOW,FRIDAY,01:55 - 02:00,22087633
Screamin Miss Jackson and the Slap Ya Mama Big Band,,CROISSANT NEUF,SATURDAY,19:00 - 20:00,103674099
Sculpture Music,http://www.sculpturemusic.co.uk,SMALL WORLD STAGE,SUNDAY,17:15 - 18:15,81497854
Seafret,http://www.seafret.com/,WILLIAM'S GREEN,THURSDAY,19:30 - 20:10,79020334
Secondcity,http://www.residentadvisor.net/dj/secondcity,WOW!,SATURDAY,22:00 - 23:00,67166330
Seinabo Sey,http://seinabosey.com/,LA PUSSY PARLURE,SUNDAY,17:15 - 18:15,56256616
Seize The Day,http://www.seizetheday.org,TOAD HALL,THURSDAY,18:00 - 19:00,6685794
Selah Sue,http://www.selahsue.com/,LA PUSSY PARLURE,FRIDAY,00:30 - 01:45,32340595
Sentient,https://www.facebook.com/pages/Sentient/210569165689403,MANDALA STAGE,SUNDAY,00:00 - 01:00,6630700
Sentimentalists,http://www.sentimentalists.co.uk/,GULLY,SATURDAY,12:45 - 13:45,19717762
Serial Killaz,https://soundcloud.com/serialkillaz,THE TEMPLE,SATURDAY,04:00 - 05:00,1300890
Seth Lakeman,http://www.sethlakeman.co.uk/,AVALON STAGE,SUNDAY,19:55 - 20:55,10181935
Seth Troxler,http://www.sethtroxler.com/,THE BEAT HOTEL,FRIDAY,15:00 - 17:00,10495217
Seven Little Sisters,http://www.sevenlittlesisters.com/news/,THE ROCKET LOUNGE,Wednesday,18:00 - 19:00,10273803
Sexyrubbersoul,,LONDON UNDERGROUND,WEDNESDAY,23:00 - 00:30,51937870
Shakti Sings Choir,http://www.shaktisings.org,CROISSANT NEUF,FRIDAY,19:00 - 20:00,91157754
Shappi Khorsandi,,CABARET,FRIDAY,20:50 - 21:20,15991718
