title,url,stage,day,time
AMELIA - BREAKING BROKEN DREAMS,https://www.lascossasnostra.com/breaking-broken-dreams---eng,OUTSIDE CIRCUS STAGE,SATURDAY,13:35 - 14:05
AMELIA - BREAKING BROKEN DREAMS,https://www.lascossasnostra.com/breaking-broken-dreams---eng,OUTSIDE CIRCUS STAGE,SUNDAY,17:40 - 18:10
AMELIA - BREAKING BROKEN DREAMS,https://www.lascossasnostra.com/breaking-broken-dreams---eng,A LITTLE MORE SENSATION,FRIDAY,15:30 - 16:00
AMELIA - BREAKING BROKEN DREAMS,https://www.lascossasnostra.com/breaking-broken-dreams---eng,A LITTLE MORE SENSATION,SATURDAY,14:55 - 15:25
AMELIA - BREAKING BROKEN DREAMS,https://www.lascossasnostra.com/breaking-broken-dreams---eng,A LITTLE MORE SENSATION,SUNDAY,13:45 - 14:15
AMIR,,BBC MUSIC INTRODUCING,SUNDAY,12:00 - 12:25
AMP FIDDLER (LIVE),https://ampfiddler.bandcamp.com/,GREENPEACE STAGE,THURSDAY,21:30 - 22:30
AMY MISBEHAVE (COMPARE),,SENSATION SEEKERS STAGE,FRIDAY,21:30 - 00:00
AMY MISBEHAVE (COMPARE),,SENSATION SEEKERS STAGE,SATURDAY,00:10 - 03:00
AMY MISBEHAVE (COMPERE),,SENSATION SEEKERS STAGE,SUNDAY,21:30 - 23:40
AMY MONTGOMERY,https://www.amymontgomery.me,ACOUSTIC STAGE,SUNDAY,12:45 - 13:20
AMYL AND THE SNIFFERS,https://www.amylandthesniffers.com,WILLIAM'S GREEN,FRIDAY,15:00 - 15:40
ANA PAZ,http://www.anapazpoettree.co.uk,POETRY&WORDS,FRIDAY,14:35 - 15:00
ANA PAZ,http://www.anapazpoettree.co.uk,POETRY&WORDS,SATURDAY,12:05 - 12:30
ANDREA SELLA - CLIMATE CHANGE PRYOTECHNICS,,SPEAKERS FORUM,SUNDAY,12:00 - 13:00
ANDREA ZARA,https://www.andreazara.com,GREENPEACE STAGE,FRIDAY,13:15 - 14:15
ANDREW MAXWELL MORRIS,http://www.andrewmaxwellmorris.com/,SMALL WORLD,Sunday,14:45 - 15:45
ANDREW MAXWELL MORRIS,,MANDALA STAGE,FRIDAY,12:00 - 13:00
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com,TOAD HALL,WEDNESDAY,19:30 - 20:15
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com,TOAD HALL,SATURDAY,13:30 - 14:15
ANDREW MAXWELL MORRIS,,BREAD AND ROSES,THURSDAY,17:00 - 17:45
ANDREW MELIA,http://www.club-magic.com,WALKABOUTS,FRIDAY,16:00 - 16:45
ANDREW MELIA,http://www.club-magic.com,WALKABOUTS,FRIDAY,14:35 - 15:20
ANDREW MELIA,http://www.club-magic.com,WALKABOUTS,SATURDAY,16:00 - 16:45
ANDREW MELIA,http://www.club-magic.com,WALKABOUTS,SATURDAY,14:35 - 15:20
ANDREW MELIA,http://www.club-magic.com,WALKABOUTS,SUNDAY,16:00 - 16:45
ANDREW MELIA,http://www.club-magic.com,WALKABOUTS,SUNDAY,14:35 - 15:20
ANDREW O'NEIL,http://www.andrewoneill.co.uk,CABARET,FRIDAY,00:25 - 00:55
ANDREW O'NEILL,http://www.andrewoneill.co.uk,CABARET,SATURDAY,23:20 - 23:50
ANDREW SIMMS - CLIMATE BREAKDOWN AND RAPID TRANSITION,,SPEAKERS FORUM,SATURDAY,13:00 - 14:00
"ANDY ""THE CROONER"" MARSHALL",http://www.andythecrooner.co.uk,CROONER'S CORNER,THURSDAY,16:45 - 17:30
"ANDY ""THE CROONER"" MARSHALL",http://www.andythecrooner.co.uk,CROONER'S CORNER,FRIDAY,17:45 - 18:30
"ANDY ""THE CROONER"" MARSHALL",http://www.andythecrooner.co.uk,CROONER'S CORNER,FRIDAY,15:00 - 15:45
"ANDY ""THE CROONER"" MARSHALL",http://www.andythecrooner.co.uk,CROONER'S CORNER,SATURDAY,13:45 - 14:30
"ANDY ""THE CROONER"" MARSHALL",http://www.andythecrooner.co.uk,CROONER'S CORNER,SUNDAY,13:45 - 14:30
ANDY BARKER (808 STATE),https://twitter.com/state808,FLYING BUS,SUNDAY,02:00 - 03:00
ANDY BURDEN & FRIENDS,,THE BANDSTAND,SATURDAY,11:45 - 12:25
ANDY C + TONN PIPER,https://andyc.cc/,ARCADIA'S PANGEA,SUNDAY,01:00 - 02:00
ANDY CARROLL,,GREENPEACE STAGE,SUNDAY,01:00 - 03:00
ANDY P & ANNIE TRAILER TRASH,,DELUXE DINER,SUNDAY,02:00 - 05:00
ANDY P,,DELUXE DINER,SATURDAY,01:30 - 03:00
ANDY SNATCH,http://www.andysnatch.com,CIRCUS CENTRAL,FRIDAY,18:15 - 18:45
ANDY SNATCH,http://www.andysnatch.com,CIRCUS CENTRAL,SATURDAY,18:15 - 18:45
ANDY SNATCH,http://www.andysnatch.com,THE GATEWAY,FRIDAY,14:45 - 15:15
ANDY SNATCH,http://www.andysnatch.com,THE GATEWAY,FRIDAY,12:45 - 13:15
ANDY SNATCH,http://www.andysnatch.com,THE GATEWAY,SATURDAY,12:45 - 13:15
ANDY SNATCH,http://www.andysnatch.com,THE GATEWAY,SUNDAY,12:45 - 13:15
ANDY TYMAN,,SMALL WORLD,Friday,17:15 - 18:15
ANGELA BARNES,,CABARET,SATURDAY,22:10 - 22:40
ANGELIQUE RECKLESS ROSS,http://www.angeliqueross.com,CIRCUS BIG TOP,THURSDAY,19:35 - 19:41
ANGELIQUE RECKLESS ROSS,http://www.angeliqueross.com,CIRCUS BIG TOP,FRIDAY,19:20 - 19:26
ANGELIQUE RECKLESS ROSS,http://www.angeliqueross.com,CIRCUS BIG TOP,SATURDAY,20:22 - 20:28
ANIMAL CROSSING DJS,https://www.facebook.com/animalcrossing,FLYING BUS,SATURDAY,23:00 - 00:00
ANIMAL KRAKERS,,SMALL WORLD,Wednesday,23:00 - 00:00
ANNA BAINES,,THE ASTROLABE THEATRE,THURSDAY,00:55 - 01:10
ANNA BAINES,,THE ASTROLABE THEATRE,FRIDAY,00:55 - 01:10
ANNA BAINES,https://www.facebook.com/annabainesmusic/,THE ASTROLABE THEATRE,SATURDAY,00:55 - 01:10
ANNA BAINES,,THE ASTROLABE THEATRE,SUNDAY,13:30 - 13:45
ANNE-MARIE,https://www.iamannemarie.com/,PYRAMID STAGE,SATURDAY,14:40 - 15:30
ANNIE MAC,https://twitter.com/anniemac,ARCADIA'S PANGEA,SATURDAY,02:00 - 03:00
ANON,,THE RUM SHACK,SATURDAY,21:30 - 22:45
ANTHONY LIVINGSPACE,,OUTSIDE CIRCUS STAGE,FRIDAY,18:15 - 18:45
ANTHONY LIVINGSPACE,,OUTSIDE CIRCUS STAGE,SATURDAY,18:15 - 18:45
ANTHONY LIVINGSPACE,,OUTSIDE CIRCUS STAGE,SUNDAY,18:15 - 18:45
ANTHONY LIVINGSPACE,,THE PAVEMENT,FRIDAY,12:55 - 13:25
ANTHONY LIVINGSPACE,,THE PAVEMENT,SATURDAY,15:40 - 16:10
ANTHONY LIVINGSPACE,,THE PAVEMENT,SUNDAY,14:25 - 14:55
ANTHONY LIVINGSPACE,https://anthonyliving.space/,MAVERICKS,FRIDAY,02:22 - 02:32
ANTHONY LIVINGSPACE,https://anthonyliving.space/,MAVERICKS,SATURDAY,02:10 - 02:20
ANTHONY PARASOLE,https://www.facebook.com/anthonyparasole/,GENOSYS,SATURDAY,00:00 - 02:00
ANTIMATADOR,,THE BANDSTAND,SUNDAY,23:20 - 00:30
ANTON SPICE,https://www.glastonburyfestivals.co.uk/areas/the-park/hms-sweet-charity/,HMS SWEET CHARITY,SATURDAY,23:30 - 01:00
APHRODITE,,SAMULA,SUNDAY,00:00 - 01:00
APRE,https://twitter.com/apreband?lang=en,BBC MUSIC INTRODUCING,FRIDAY,15:00 - 15:25
AQUA RHYTHM,https://www.aquarhythm.co/,GLEBELAND,WEDNESDAY,08:00 - 08:00
AQUA RHYTHM,https://www.aquarhythm.co/,GLEBELAND,THURSDAY,08:00 - 08:00
AQUA RHYTHM,https://www.aquarhythm.co/,GLEBELAND,FRIDAY,08:00 - 08:00
AQUA RHYTHM,https://www.aquarhythm.co/,GLEBELAND,SATURDAY,08:00 - 08:00
AQUA RHYTHM,https://www.aquarhythm.co/,GLEBELAND,SUNDAY,08:00 - 08:00
ARCADIA SOUND SYSTEM - SHARKMAN & JUBBA FT DR SYNTAX,,THE TEMPLE,THURSDAY,23:00 - 00:30
ARCADIA SOUND SYSTEM,,ARCADIA'S PANGEA,SUNDAY,02:00 - 02:30
ARCHIE HAMILTON,,THE GAS TOWER,SATURDAY,00:00 - 01:00
ARI SHAFFIR,http://www.arithegreat.com,CABARET,FRIDAY,23:05 - 23:35
ARI SHAFFIR,http://www.arithegreat.com,CABARET,SUNDAY,22:00 - 22:30
ARIES & NAVIGATOR,,SAMULA,SATURDAY,00:00 - 01:00
ARIES,https://en-gb.facebook.com/ariesdubs/,THE SALON CAROUSEL,SUNDAY,02:00 - 03:00
ARLO & JACK BERRY B2B MUSHY,https://www.facebook.com/mushy-123461554508029/,FLYING BUS,SUNDAY,00:30 - 02:00
ARLO PARKS,https://www.monsterflorence.com/,BBC MUSIC INTRODUCING,SATURDAY,17:10 - 17:35
ARLO PARKS,https://www.instagram.com/arlo.parks/?hl=en,THE RABBIT HOLE,FRIDAY,00:45 - 01:15
AROUND THE WORLD IN 80 TUNES - COUNT BASSY - PONY MONTANA - GLOBAL LOCAL AND MORE,,THE GAS TOWER,SUNDAY,00:00 - 01:00
ART AND CREATIVITY AT THE CENTER OF PROTEST,,REBEL REBEL,FRIDAY,14:00 - 15:00
ARTWORK,,SONIC,SATURDAY,18:30 - 20:00
AS A TIGER IN THE JUNGLE,http://www.aliwilliams.pro,CIRCUS BIG TOP,THURSDAY,18:30 - 19:20
AS A TIGER IN THE JUNGLE,http://www.aliwilliams.pro,CIRCUS BIG TOP,FRIDAY,19:52 - 20:42
AS A TIGER IN THE JUNGLE,http://www.aliwilliams.pro,CIRCUS BIG TOP,SATURDAY,19:27 - 20:17
AS A TIGER IN THE JUNGLE,http://www.aliwilliams.pro,CIRCUS BIG TOP,SUNDAY,19:06 - 19:56
"ASBO DISCO - SUNDAY FUNDAY, FT TOM SPIRALS",https://www.facebook.com/asbodisco/,BLIND TIGER,SUNDAY,01:00 - 03:00
ASH THE DESTROYER,,MANDALA STAGE,THURSDAY,16:00 - 17:00
ASZYK - AV SET,,THE GAS TOWER,SATURDAY,22:00 - 23:00
ATAK & MATT HILLS,,TOLPUDDLE,FRIDAY,21:00 - 23:00
ATKI 2 & DUB BOY W/ JONESY WALES,,BABYLON UPRISING,THURSDAY,15:00 - 17:00
ATLANTA ALLURE,,BLIND TIGER,FRIDAY,15:00 - 16:00
AUBREY MEYER - CLIMATE CHANGE CONVERGENCE,,SPEAKERS FORUM,THURSDAY,16:00 - 17:00
AUNTIE FLO (DJ),http://auntieflo.net/,THE BEAT HOTEL,SATURDAY,20:00 - 21:30
AUNTIE FLO (LIVE) FT ANDREW ASHONG,http://auntieflo.net/,PUSSY PARLURE,SUNDAY,19:00 - 20:00
AURORA,https://www.aurora-music.com/,JOHN PEEL STAGE,FRIDAY,19:30 - 20:30
AVALON EMERSON,http://avalonemerson.com/,THE BEAT HOTEL,THURSDAY,00:00 - 01:30
AVENGERS: ENDGAME,https://disney.co.uk/movies/avengers-endgame,PILTON PALAIS CINEMA,SATURDAY,13:30 - 16:31
AVI BUFFALO,http://www.avibuffalomusic.com,WILLIAM'S GREEN,SUNDAY,14:00 - 14:40
AWARDZ,,HEDS PARTY,SUNDAY,01:00 - 03:00
AYITO,https://www.instagram.com/ayitobeats/,SAMULA,FRIDAY,23:00 - 00:00
BABYLON ALL STARS,,BABYLON UPRISING,THURSDAY,02:00 - 02:45
BABYLON ALL STARS,,BABYLON UPRISING,THURSDAY,12:00 - 15:00
BABYLON ALL STARS,,BABYLON UPRISING,FRIDAY,01:00 - 02:45
BABYLON DEAD,https://en-gb.facebook.com/babylondead2000/,THE SALON CAROUSEL,SATURDAY,22:00 - 22:45
BABYMETAL,http://www.babymetal.com/en/,OTHER STAGE,SUNDAY,14:35 - 15:15
BACK BEFORE BREAKFAST,,THE SPIKE,SATURDAY,13:00 - 14:00
BACK BEFORE BREAKFAST,,AVALON CAFÉ STAGE,SATURDAY,22:20 - 23:20
BACK BEFORE BREAKFAST,,THE BANDSTAND,SATURDAY,16:05 - 16:45
BACK ROOM DJ'S,,GREENPEACE STAGE,WEDNESDAY,02:15 - 03:00
BAD CHILD,http://www.badchildsound.com/,PUSSY PARLURE,SATURDAY,23:15 - 00:15
BADCORE HORNS,http://badcorehorns.co.uk/,TRUTH STAGE,THURSDAY,02:20 - 03:00
BADSISTA - BAHIDORA X RUM SHACK TAKEOVER,https://www.instagram.com/djrosapistola,THE RUM SHACK,SATURDAY,02:00 - 03:00
BAGGY MONDAYS INDIE DISCO,https://www.facebook.com/baggymondays/,STONEBRIDGE,THURSDAY,17:00 - 18:30
BALLET WORKS,http://www.ballet-works.com,THE ASTROLABE THEATRE,FRIDAY,16:45 - 16:55
BALLET WORKS,http://www.ballet-works.com,THE ASTROLABE THEATRE,SATURDAY,19:00 - 19:10
BALLET WORKS,http://www.ballet-works.com,THE ASTROLABE THEATRE,SUNDAY,15:40 - 15:50
BAMILY,https://open.spotify.com/artist/6omh7pgcbigfpdkkuhmjay?si=in8lj6matwkel0iazhy71w,VILLAGE INN,THURSDAY,23:00 - 01:00
BANANA HILL,,BABYLON UPRISING,SATURDAY,16:30 - 17:30
BANANARAMA,http://www.bananarama.co.uk/,AVALON STAGE,SUNDAY,19:50 - 20:50
BANCO DE GAIA,,AVALON CAFÉ STAGE,THURSDAY,01:00 - 02:00
BARBARELLA'S BANG BANG,https://twitter.com/barbarellasbb,FLYING BUS,SUNDAY,22:15 - 23:00
BARBARELLA'S BANG BANG,https://barbarellasbangbang.com/,BIMBLE INN,THURSDAY,23:45 - 01:00
BARE JAMS,,SMALL WORLD,Friday,02:30 - 03:30
BARE JAMS,https://www.barejams.com,BREAD AND ROSES,FRIDAY,17:00 - 18:00
BARE JAMS,,BIMBLE INN,SUNDAY,20:15 - 21:30
BARELY LEGAL (RAVE SPECIAL),,BABYLON UPRISING,SATURDAY,23:30 - 00:30
BARELY LEGAL X FOREIGN BEGGARS,https://soundcloud.com/dj-barely-legal http://www.foreignbeggars.com,THE RUM SHACK,FRIDAY,03:00 - 04:00
BARNARD-BEERTRIX,https://www.foolsparadise.co.uk/companies/jonesandbarnard/mattbarnard/,MAVERICKS,FRIDAY,00:43 - 00:51
BARNEY ARTIST,http://barneyartistmusic.com,THE RUM SHACK,THURSDAY,22:30 - 23:30
BASH STREET THEATRE,http://www.bashstreet.co.uk,GLEBELAND,FRIDAY,13:00 - 13:50
BASH STREET THEATRE,http://www.bashstreet.co.uk,GLEBELAND,SATURDAY,13:00 - 13:50
BASH STREET THEATRE,http://www.bashstreet.co.uk,GLEBELAND,SUNDAY,13:00 - 13:50
BASIL BRUSH,,KIDZFIELD BIG TOP,THURSDAY,12:45 - 13:30
BASIL BRUSH,,KIDZFIELD BIG TOP,FRIDAY,11:45 - 12:30
BASIL BRUSH,,KIDZFIELD BIG TOP,SATURDAY,13:45 - 14:30
BASIL BRUSH,,KIDZFIELD BIG TOP,SUNDAY,15:00 - 15:45
BASTILLE,https://www.bastillebastille.com/,PYRAMID STAGE,FRIDAY,16:15 - 17:15
BATU,https://www.facebook.com/batumusic,IICON,THURSDAY,21:30 - 23:30
BBOYILLWILL,http://www.bboyillwill.com,THE PAVEMENT,THURSDAY,14:40 - 15:10
BBOYILLWILL,http://www.bboyillwill.com,THE PAVEMENT,FRIDAY,17:00 - 17:30
