title,url,stage,day,time,description
ELLE & THE POCKET BELLES,www.pocketbelles.com,THE BANDSTAND,FRIDAY,17:00 - 17:40,
ELLE & THE POCKET BELLES WITH MISTA TRICK- ELECTRO SWING,https://soundcloud.com/mistatrick/elle-and-the-pocket-belles-you,SHANGRI-LA,SATURDAY,22:00 - 22:50,
ELLE AND THE POCKET BELLES,www.pocketbelles.com/,GLADE,SUNDAY,13:25 - 14:05,Elle and The Pocket Belles taking you back to the time of speakeasy's and dance halls  their unique swingin' vintage swing music.
ELLE AND THE POCKET BELLES,,AVALON CAFE,SUNDAY,17:30 - 18:15,
ELLI INGRAM,http://www.elliingram.com/,SILVER HAYES,FRIDAY,17:30 - 18:30,"Switching easily from soulful jazz with a hint of Amy and Billie Holiday to more upbeat hip-hop rhythms, Elli Ingram has a voice to die for."
ELLIE GOULDING,http://elliegoulding.com/,OTHER STAGE,SUNDAY,20:30 - 21:30,"The massive success of ‘Burn’ around the world, the multi awards straining her mantelpiece, the startling dresses, the Ellie rollercoaster promises to come to a euphoric climax with tonight’s show. That said, her chart topping ‘Halcyon’ album only reached number 85 in France – that’s Eurovision for you."
ELLIPHANT,http://elliphant.com/,SILVER HAYES,THURSDAY,01:15 - 01:50,A Diplo and Skrillex-approved Swedish singer with an innovative mix of styles that hint at everything from MIA and rap to R&B and reggae.
EMERGING SPECIES,,GREEN FIELDS,THURSDAY,12:00 - 14:00,
EMILY BEE,http://www.emilybee.co.uk/,THEATRE AND CIRCUS,FRIDAY,16:50 - 17:00,
EMILY BEE,http://www.emilybee.co.uk/,THEATRE AND CIRCUS,SATURDAY,14:25 - 14:30,
EMILY BEE,http://www.emilybee.co.uk/,THEATRE AND CIRCUS,SUNDAY,16:45 - 16:50,
EMILY BENN – MEMORIES OF TONY,,GREEN FIELDS,SUNDAY,13:15 - 14:15,
EMILÍANA TORRINI,http://emilianatorrini.com/,AVALON,SATURDAY,21:45 - 22:45,"Wonderful Icelandic singer-songwriter whose music embraces elements of folk, electronic pop and trip-hop, with a vocal that has earned inevitable comparisons to Bjork."
EMPEROR MACHINE,https://www.facebook.com/theemperormachine,SILVER HAYES,SATURDAY,18:00 - 19:00,"Ambitious bulky, ballsy disco made perfect with the addition of twanging guitars and the sound of flying spaceships taking it to another dimension altogether."
ENDER'S GAME,,PILTON PALAIS,THURSDAY,15:00 - 16:41,
ENERGY UNION - MATT BLACK (COLD CUT),,SILVER HAYES,SATURDAY,00:30 - 01:30,
ENGLISH NATIONAL BALLET,http://www.ballet.org.uk/,PYRAMID STAGE,SUNDAY,11:30 - 11:50,"So, Glastonbury hosted opera a few years back, it dabbled in thrash metal last night and Jay Z was a tad controversial, The English National Ballet should have no problems."
ESG,https://www.facebook.com/esgtheband,THE PARK,SATURDAY,18:30 - 19:30,"Legendary ‘70s US all-girl funky indie trio, Emerald, Sapphire And Gold, still retain that post punk edginess and dancefloor shuffle of old, like an edgier version of Tom Tom Club with great songs."
ETERNAL TAAL BHANGRA ENTERTAINMENT TEAM,http://www.eternaltaal.com/website/index.php/dhol-drummers,SILVER HAYES,FRIDAY,13:00 - 14:00,More authentic pulsating dhol drummers with dancers and DJs in an all out attack on the senses.
ETERNAL TAAL BHANGRA ENTERTAINMENT TEAM,http://www.eternaltaal.com/website/index.php/dhol-drummers,SILVER HAYES,SATURDAY,13:00 - 13:45,Authentic pulsating dhol drummers with dancers and DJs in an all out attack on the senses. A visual feast.
ETHAN JOHNS,http://www.ethanjohns.com/,ACOUSTIC,SATURDAY,14:30 - 15:15,"Producer (Macca, Kings Of Leon, Laura Marling, Ryan Adams) turned performer with a spirited take on Americana with a dollop of southern fried country and a bit of vaudeville mixed in for good measure."
ETON MESSY,https://www.facebook.com/etonmessy,SILVER HAYES,SATURDAY,19:30 - 20:30,The former YouTube channel mainstay and half of Blonde with an undying love of eclectic electronic music.
ETON MESSY,https://www.facebook.com/etonmessy,SILVER HAYES,SATURDAY,21:30 - 22:15,The former YouTube channel mainstay and half of Blonde with an undying love of eclectic electronic music.
ETTA BOND,https://www.facebook.com/pages/etta-bond/236542853031111,SILVER HAYES,SATURDAY,15:30 - 16:10,"Vocalist of choice with both DaVinche, Plan B, Wretch 32 and Devlin among others, now working with raf Riley."
EXCEPTION-ELLE,,THEATRE AND CIRCUS,FRIDAY,11:40 - 11:50,
EXCEPTION-ELLE,,THEATRE AND CIRCUS,FRIDAY,13:20 - 13:30,
EXCEPTION-ELLE,,THEATRE AND CIRCUS,SATURDAY,11:40 - 11:50,
EXCEPTION-ELLE,,THEATRE AND CIRCUS,SATURDAY,14:05 - 14:15,
EXCEPTION-ELLE,,THEATRE AND CIRCUS,SUNDAY,11:40 - 11:50,
EXCEPTION-ELLE,,THEATRE AND CIRCUS,SUNDAY,13:20 - 13:30,
EXCERPT FROM FLOWN,,THEATRE AND CIRCUS,FRIDAY,12:43 - 12:50,
EXCERPT FROM FLOWN,,THEATRE AND CIRCUS,SATURDAY,12:43 - 12:50,
EXCERPT FROM FLOWN,,THEATRE AND CIRCUS,SUNDAY,12:43 - 12:50,
EXTERNAL COMBUSTION,,THEATRE AND CIRCUS,FRIDAY,00:15 - 00:30,
EXTERNAL COMBUSTION,,THEATRE AND CIRCUS,FRIDAY,01:20 - 01:30,
EXTERNAL COMBUSTION,,THEATRE AND CIRCUS,SATURDAY,00:15 - 00:30,
EXTERNAL COMBUSTION,,THEATRE AND CIRCUS,SATURDAY,01:20 - 01:30,
EXTERNAL COMBUSTION,,THEATRE AND CIRCUS,SUNDAY,00:15 - 00:30,
EXTERNAL COMBUSTION,,THEATRE AND CIRCUS,SUNDAY,22:45 - 23:00,
EYES FOR GERTRUDE,http://www.eyesforgertrude.com/,GREEN FIELDS,SATURDAY,16:00 - 17:00,
EYES FOR GERTRUDE,http://www.eyesforgertrude.com/,GREEN FIELDS,SUNDAY,13:00 - 14:00,
F.P.P OLD SCHOOL,,THE COMMON,SUNDAY,10:00 - 22:00,
F.R.E.E. NORTH SOMERSET PARCOUR,,THEATRE AND CIRCUS,FRIDAY,,
F.R.E.E. NORTH SOMERSET PARCOUR,,THEATRE AND CIRCUS,SATURDAY,,
F.R.E.E. NORTH SOMERSET PARCOUR,,THEATRE AND CIRCUS,SUNDAY,,
FACE PAINTING/CRAFT WORKSHOPS,http://kidzfield.com,KIDZ FIELD,FRIDAY,09:00 - 19:00,
FACES OF DISCO,,THEATRE AND CIRCUS,FRIDAY,13:50 - 14:20,
FACES OF DISCO,,THEATRE AND CIRCUS,FRIDAY,15:05 - 15:45,
FACES OF DISCO,http://www.facesofdisco.com/,THEATRE AND CIRCUS,FRIDAY,17:05 - 17:15,
FACES OF DISCO,,THEATRE AND CIRCUS,SATURDAY,14:35 - 15:05,
FACES OF DISCO,,THEATRE AND CIRCUS,SATURDAY,15:05 - 15:45,
FACES OF DISCO,,THEATRE AND CIRCUS,SUNDAY,13:50 - 14:20,
FACES OF DISCO,,THEATRE AND CIRCUS,SUNDAY,15:05 - 15:45,
FACTA (PIFF BRISTOL),https://soundcloud.com/facta,GLADE,SUNDAY,22:30 - 23:30,
FAMILY FEATURE FILM,,GREEN FIELDS,FRIDAY,16:00 - 18:00,
FAMILY FEATURE FILM,,GREEN FIELDS,SATURDAY,16:00 - 18:00,
FAMILY FEATURE FILM,,GREEN FIELDS,SUNDAY,16:00 - 18:00,
FAMILY FEATURE FILM,,GREEN FIELDS,SUNDAY,18:00 - 20:00,
FAMILY FEATURE FILM,,GREEN FIELDS,THURSDAY,16:00 - 17:50,
FAMILY OF THE YEAR,http://familyoftheyear.net/,WILLIAM'S GREEN,SUNDAY,20:00 - 20:40,"There’s more than a hint of melancholy to some of Family Of The Year’s music, and the seven million plus viewed video for ‘Hero’ suggests that their aching Americana has touched more than a few hearts along the way."
FANNY TASTIC,,SHANGRI-LA,SATURDAY,22:00 - 23:00,
FANNY TASTIC,,SHANGRI-LA,SUNDAY,15:00 - 16:00,
FAT 45,www.fat45.com,THE BANDSTAND,SUNDAY,23:00 - 00:00,
FAT 45,,SHANGRI-LA,THURSDAY,21:30 - 23:00,
FAT 45'S,http://www.fat45.com/,SHANGRI-LA,SATURDAY,00:00 - 01:00,
FAT CONTENT,,OTHER,SATURDAY,18:45 - 19:30,
FAT STANLEY,,AVALON CAFE,SUNDAY,22:30 - 23:30,
FAT WHITE FAMILY,http://fatwhitefamily.bandcamp.com/,WILLIAM'S GREEN,FRIDAY,13:00 - 13:40,"Catch them early before the weekend catches them, the much talked about FWF, prone to yobbish good humour, nudity and wild irreverence are set to be one of the most talked about things this weekend."
FAT WHITE FAMILY,https://www.facebook.com/fatwhitefamily,JOHN PEEL STAGE,SATURDAY,15:00 - 15:40,"Controversial South London squat rockers with a propensity for nudity in their videos. The Guardian introduced them so: “Like all great bands Fat White Family look like trouble.” Words like “yobbish” and “Libertines”, “pub” and “The Birthday Party” followed."
FATBOY SLIM,http://www.fatboyslim.net/,SILVER HAYES,SATURDAY,22:30 - 00:30,"The big beat brother and acclaimed remix artist whose groundbreaking ‘You’ve Come A Long Way Baby’ album from 1998 still sound as good today. Right here, right now – all that stuff."
FATT MATT,,THEATRE AND CIRCUS,FRIDAY,13:15 - 13:45,
FATT MATT,,THEATRE AND CIRCUS,FRIDAY,17:40 - 18:10,
FATT MATT,,THEATRE AND CIRCUS,SATURDAY,10:30 - 11:00,
FATT MATT,,THEATRE AND CIRCUS,SATURDAY,17:40 - 18:10,
FATT MATT,,THEATRE AND CIRCUS,SUNDAY,13:15 - 13:45,
FATT MATT,,THEATRE AND CIRCUS,SUNDAY,17:40 - 18:10,
FAZZA,,THE UNFAIRGROUND,THURSDAY,20:00 - 21:00,
FEATURECAST,https://featurecast.bandpage.com/,SHANGRI-LA,THURSDAY,21:00 - 22:00,
FEEDING THE FISH,http://www.feedingthefish.com/,THEATRE AND CIRCUS,FRIDAY,23:00 - 23:10,
FEEDING THE FISH,http://www.feedingthefish.com,THEATRE AND CIRCUS,FRIDAY,23:45 - 23:53,
FEEDING THE FISH,http://www.feedingthefish.com/,THEATRE AND CIRCUS,SATURDAY,00:40 - 00:45,
FEEDING THE FISH,http://www.feedingthefish.com,THEATRE AND CIRCUS,SATURDAY,23:51 - 23:59,
FEEDING THE FISH,http://www.feedingthefish.com/,THEATRE AND CIRCUS,SUNDAY,20:45 - 20:50,
FEEDING THE FISH,http://www.feedingthefish.com,THEATRE AND CIRCUS,SUNDAY,22:52 - 23:00,
FEEL THE REAL,,SILVER HAYES,FRIDAY,01:00 - 07:00,
FELICITY FOOTLOOSE SHOW,https://www.youtube.com/watch?v=dsbhzwgknw8,THEATRE AND CIRCUS,FRIDAY,15:20 - 15:50,
FELICITY FOOTLOOSE SHOW,,THEATRE AND CIRCUS,SATURDAY,15:20 - 15:50,
FELICITY FOOTLOOSE SHOW,,THEATRE AND CIRCUS,SUNDAY,15:20 - 15:50,
FELICITY FOOTLOSE SHOW,,THEATRE AND CIRCUS,FRIDAY,13:00 - 13:30,
FELICITY FOOTLOSE SHOW,,THEATRE AND CIRCUS,SATURDAY,13:00 - 13:30,
FELICITY FOOTLOSE SHOW,,THEATRE AND CIRCUS,SUNDAY,13:00 - 13:30,
FELIX DICKINSON,,BLOCK9,FRIDAY,04:30 - 06:00,
FELIX DICKINSON,,THE BEAT HOTEL,THURSDAY,12:00 - 14:00,
FILM NIGHT WITH STEPHEN MALIT,,AVALON CAFE,WEDNESDAY,22:30 - 01:00,
FILTH,,PILTON PALAIS,FRIDAY,22:00 - 23:37,
FINALE,,ARCADIA,FRIDAY,02:55 - 03:00,
FINALE,,ARCADIA,SATURDAY,02:55 - 03:00,
FINALE,,ARCADIA,SUNDAY,02:55 - 03:00,
FINDLAY,http://www.findlaymusic.com/,SILVER HAYES,SUNDAY,15:45 - 16:10,Whoa! Imagine if Sonic Youth were all inside one person and they were emerging now into a world of new tech with traditional musical walls broken down – they’d sound like this. Sassy.
FISHERMAN'S FRIENDS,http://www.thefishermansfriends.com/,ACOUSTIC,FRIDAY,17:25 - 18:10,Where would we be without a quick sea shanty? Port Isaac’s Fisherman’s Friends have been spreading new life into the genre for nearly ten years now and their multi-harmonies and choice of material never fail to impress.
FLEETMAC WOOD,,THE PARK,SUNDAY,18:00 - 20:00,
FLIGHTS OF HELIOS,http://flightsofhelios.bandcamp.com/,SILVER HAYES,SUNDAY,18:45 - 19:10,"Exceptional and odd, bringing evocative hints of Elysian 60’s pop like the Zombies to some serenely medicated Spiritualized passages"
FLIPRON,www.flipron.co.uk/,THE BANDSTAND,FRIDAY,19:00 - 19:45,
FLIPRON,www.flipron.co.uk,AVALON CAFE,FRIDAY,22:30 - 23:30,
FLYING WHITE DOTS,www.flyingwhitedots.com,SHANGRI-LA,THURSDAY,19:00 - 20:00,
FOGHORN LEGHORN,,SHANGRI-LA,FRIDAY,10:00 - 11:00,
FOGHORN LEGHORN,,SHANGRI-LA,SATURDAY,10:00 - 11:00,
FOGHORN LEGHORN,,SHANGRI-LA,SUNDAY,10:00 - 11:00,
FOGHORN LEGHORN,,SHANGRI-LA,THURSDAY,10:00 - 11:00,
FOLK SESSION,,THE BANDSTAND,WEDNESDAY,21:45 - 23:00,
FORCENRA,,GREEN FIELDS,SUNDAY,19:30 - 21:00,
FORMIDABLE VEGETABLE SOUND SYSTEM,,THEATRE AND CIRCUS,SUNDAY,16:25 - 16:55,
FORMIDABLE VEGETABLE SOUND SYSTEM,http://music.formidablevegetable.com.au/,GREEN FIELDS,THURSDAY,00:00 - 01:00,
FORMIDABLE VEGETABLE SOUND SYSTEM,http://formidablevegetable.com.au/,THE PARK,THURSDAY,20:00 - 21:00,
FORMIDABLE VEGETABLE SOUNDSYSTEM,,GREEN FIELDS,SATURDAY,14:30 - 15:30,
FORMIDABLE VEGETABLE SOUNDSYSTEM,www.formidablevegetable.com.au,SHANGRI-LA,SATURDAY,19:00 - 20:00,
FORMIDABLE VEGETABLE SOUNDSYSTEM,http://music.formidablevegetable.com.au/,SHANGRI-LA,SUNDAY,22:00 - 23:00,
FOSTER THE PEOPLE,http://www.fosterthepeople.com/tagged/us,OTHER STAGE,FRIDAY,17:50 - 18:50,Did ‘Pumped Up Kicks’ really come out in 2010? Time has flown for this neo-psychedelic indietronica pop trio with a bass player called “Cubbie” Fink. New album ‘Supermodel’ suggests more of the same soulful stuff for sure. What were his parents thinking?
FOUR POOFS & A PIANO,http://www.4poofsandapiano.com/,THEATRE AND CIRCUS,FRIDAY,15:40 - 16:10,
FOUR POOFS & A PIANO,http://www.4poofsandapiano.com/,THEATRE AND CIRCUS,SATURDAY,20:20 - 20:50,
FOUR TET,https://www.facebook.com/pages/four-tet-official/133959086699511,THE PARK,FRIDAY,21:30 - 22:30,"Multi-layered, genre-defying electronic music from Kieran Hebden, an evocative and pulsating journey into your psyche with sounds that envelop the listener and, as the sun disappears over The Park, the perfect way to unwind – completely."
FOUR TET B2B JOE GODDARD,http://www.fourtet.net/,THE BEAT HOTEL,FRIDAY,01:00 - 03:00,
FOXES,http://www.iamfoxes.com/,SILVER HAYES,SATURDAY,20:10 - 20:50,"One more mention of Rudimental! Foxes was guest vocalist on ‘Right Here’, she also won a Grammy Award for ‘Clarity’ with Zedd. Since then, the diminuitive vocalist has had some huge tracks all of her own including the glorious anthem ‘Holding Onto Heaven’."
FRAISER FUNK,,SHANGRI-LA,FRIDAY,15:00 - 17:00,
FRAISER FUNK,,SHANGRI-LA,SATURDAY,17:00 - 18:00,
FRAISER FUNK,,SHANGRI-LA,THURSDAY,15:00 - 17:00,
FRANCOIS K,,BLOCK9,SUNDAY,01:00 - 03:00,
FRANK SANAZI,,THEATRE AND CIRCUS,FRIDAY,,
FRANK SANAZI,http://www.franksanazi.com/,THEATRE AND CIRCUS,SATURDAY,20:10 - 20:20,
FRANK SANAZI,http://www.franksanazi.com/,THEATRE AND CIRCUS,SATURDAY,20:50 - 21:00,
FRANK SANAZI,http://www.franksanazi.com/,THEATRE AND CIRCUS,SUNDAY,19:40 - 19:50,
FRANK SANAZI,http://www.franksanazi.com/,THEATRE AND CIRCUS,SUNDAY,20:30 - 20:40,
FRANK SANAZI HOSTS THE PIT CABARET FEATURING KITTY BANG BANG & THE MOSTERS OF SCHLOCK,https://www.youtube.com/watch?v=evlqjfp5cfa ; www.kittybangbang.com,SHANGRI-LA,SATURDAY,23:30 - 00:30,
FRANKIE FRANCIS,,THE PARK,THURSDAY,23:00 - 01:00,
FREDDIE VERNON & CO,www.freddievernon.com,AVALON CAFE,FRIDAY,16:30 - 17:15,
FREDDIE VERNON & CO,www.freddievernon.com,AVALON CAFE,THURSDAY,11:30 - 12:15,
FREEFALL COLLECTIVE,https://www.facebook.com/pages/freefall-collective/8808151795,GLADE,SATURDAY,19:15 - 20:45,
FREERANGE DJ'S,https://www.facebook.com/freerangedjs,GLADE,THURSDAY,15:30 - 16:30,
FRICTION,,ARCADIA,FRIDAY,00:45 - 01:55,
FROZEN 3D - SING ALONG VERSION,,PILTON PALAIS,SUNDAY,11:00 - 12:48,
FUJIYA & MIYAGI,http://www.fujiya-miyagi.co.uk/,WILLIAM'S GREEN,SATURDAY,19:00 - 19:40,"Mixing Krautrock with techno synths, with whispered vocals and a sequencer gone mad. If Can went to Ibiza in its heyday it might have sounded something like this."
FUNDUBMENTAL,,GREEN FIELDS,FRIDAY,22:30 - 23:30,
FUNDUBMENTAL,http://goodtimesmusic.co.uk/artists/fundubmental/,THE PARK,THURSDAY,19:00 - 19:40,
FUNKMOB,,OTHER,FRIDAY,20:00 - 22:00,
FUNKMOB,,OTHER,SATURDAY,00:00 - 02:00,
FUNKMOB,,OTHER,SUNDAY,23:00 - 02:00,
FUNKMOB,,OTHER,THURSDAY,20:00 - 22:00,
FURS,http://www.fursband.co.uk/music,SILVER HAYES,SUNDAY,12:00 - 12:25,"The London trio who released the magical single ‘Just Kids’, a proper slice of new indie pop, with a great vocal and so much going on around the melody line that its hugely contagious."
FURS (ETC FINALISTS),,THE PARK,SATURDAY,19:15 - 20:00,
FUTUREBOOGIE,,THE BEAT HOTEL,SATURDAY,18:00 - 20:00,
GABRIELLE APLIN,http://www.gabrielleaplin.co.uk/,AVALON,SUNDAY,18:15 - 19:15,"With a staggering 41 million views on Youtube and a number one single with her version of ‘The Power Of Love’, Gabrielle Aplin’s brittle vocal and aching delivery is all about tingling the spine."
GAEA KNIGHT,https://www.facebook.com/gaea.knight,GREEN FIELDS,SATURDAY,02:00 - 03:00,
GAEA KNIGHT,https://www.facebook.com/gaea.knight,GREEN FIELDS,WEDNESDAY,22:00 - 23:00,
GAIA GUARDIANS,,GREEN FIELDS,THURSDAY,20:30 - 21:00,
GAIA'S GUARDIANS,http://www.gaiasguardiansglastonbury.org/,SHANGRI-LA,THURSDAY,17:00 - 18:00,
GALIA ARAD,http://www.galiaarad.typepad.com,ACOUSTIC,SUNDAY,14:00 - 14:45,"Yes! A gifted American singer songwriter based in Dublin with the kind of maturity in her lyrics and voice that you might not expect from someone who looks so young. Clever, quirky and a touch eccentric, just about perfect."
GALLERY CIRCUS,https://www.facebook.com/gallerycircus,SILVER HAYES,SUNDAY,13:30 - 13:55,"Drums, guitar, aggression! A nod to Jack White, Black Keys and a secret smattering of old school metal bands from this chunkily riffed duo."
GAMBLE AND WELLS PICK'N'MIX CIRCUS,,THEATRE AND CIRCUS,FRIDAY,16:35 - 16:55,
GAMBLE AND WELLS PICK'N'MIX CIRCUS,,THEATRE AND CIRCUS,SATURDAY,16:35 - 16:55,
GARDEN CITY MOVEMENT,https://www.facebook.com/gardencitymovement,SILVER HAYES,THURSDAY,23:20 - 00:00,"Soft dreamy electronic sounds from this Israeli three-piece who, on occasion, sound like the perfect audio example of slow-motion."
GARDEN PARTY WITH NORMSKI AND FRIENDS,https://soundcloud.com/klose-one,SHANGRI-LA,FRIDAY,11:00 - 17:00,
GARETH JONES,,THEATRE AND CIRCUS,SUNDAY,13:10 - 13:40,
GAZ BROOKFIELD,http://www.gazbrookfield.com/,AVALON CAFE,FRIDAY,12:30 - 13:15,
GAZ BROOKFIELD,http://www.gazbrookfield.com/,AVALON CAFE,THURSDAY,18:30 - 19:00,
GAZ COOMBES,http://www.gazcoombes.com/,WILLIAM'S GREEN,FRIDAY,16:00 - 16:40,"The former Supergrass man is readying himself for his second solo album, recent singles suggesting that he’s found a deeper more emotional and expressive edge to his music."
GAZ HOST UNPLUGGED NIGHT,http://www.gazrockin.com/,SHANGRI-LA,WEDNESDAY,18:00 - 18:30,
GAZZO,,THEATRE AND CIRCUS,FRIDAY,12:40 - 13:10,
GAZZO,,THEATRE AND CIRCUS,FRIDAY,14:10 - 14:55,
GAZZO,,THEATRE AND CIRCUS,SATURDAY,12:40 - 13:10,
GAZZO,,THEATRE AND CIRCUS,SATURDAY,14:10 - 14:55,
GAZZO,,THEATRE AND CIRCUS,SUNDAY,12:40 - 13:10,
GAZZO,,THEATRE AND CIRCUS,SUNDAY,14:10 - 14:55,
GEMMA ROGERS,,THE PARK,FRIDAY,16:30 - 17:00,
GENERAL LEVY WITH DJ JOE ARIWA,https://www.facebook.com/generalevy,SILVER HAYES,FRIDAY,22:00 - 00:00,Ragga master General Levy with dub sparring partner Joe Ariwa for this special DJ set spiked with Levy rhymes.
GENGAHR,https://www.facebook.com/gengahrband,SILVER HAYES,SATURDAY,14:15 - 14:40,Echoey sub-psyche nudging into dreamy indie pop in the style of Unknown Mortal Orchestra with two great tracks on YouTube.
GENTLE MYSTICS,http://gentlemystics.com/press/,GLADE,SATURDAY,13:20 - 14:20,"a trio which miraculously tripled into a full blown 9-piece band with a finished album and every musical instrument under the sun, almost"
GENTLEMAN'S DUB CLUB,http://www.gentlemansdubclub.com/,SILVER HAYES,SUNDAY,18:15 - 19:30,Be-suited Two Tone-styled ska in the realms of Madness and The Specials with some clever wordplay and plenty of socially commentary in the mix.
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,10:30 - 11:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,11:30 - 12:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,12:30 - 13:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,13:30 - 14:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,14:30 - 15:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,15:30 - 16:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,16:30 - 17:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,17:30 - 18:15,
GENTLEMEN OF THE ROAD PRESENTS,http://www.gentlemenoftheroad.com/,AVALON CAFE,SATURDAY,18:30 - 19:30,
GEORGE EGG,,THEATRE AND CIRCUS,FRIDAY,,
GEORGE EGG,,THEATRE AND CIRCUS,FRIDAY,16:30 - 16:50,
GEORGE EGG,,THEATRE AND CIRCUS,SATURDAY,,
GEORGE EGG,http://www.georgeegg.com,THEATRE AND CIRCUS,SATURDAY,16:30 - 16:50,
GEORGE EGG,http://www.georgeegg.com,THEATRE AND CIRCUS,SUNDAY,16:30 - 16:50,
GEORGE EZRA,http://www.georgeezra.com/,SILVER HAYES,SATURDAY,19:00 - 19:25,"Complete with a Bristol twang, spinning yarns and stories into melodic pop while also doffing a cap to the blues crooners of old."
GEORGE EZRA,http://www.georgeezra.com/,JOHN PEEL STAGE,SUNDAY,13:50 - 14:20,"In the wake of Ginger Ed, we have the man Bugg and now George Ezra replete with a Bristol twang, spinning yarns and stories into melodic pop places. But wait, guitar discarded it’s like listening to an old blues man singing spirituals, raising hairs where no hairs should be. A talent for sure. Young, good looking, got nothing going for him."
GEORGE ORANGE,,THEATRE AND CIRCUS,FRIDAY,10:40 - 11:10,
GEORGE ORANGE,https://www.youtube.com/watch?v=xeqblmoqlea,THEATRE AND CIRCUS,FRIDAY,13:45 - 14:15,
GEORGE ORANGE,,THEATRE AND CIRCUS,SATURDAY,10:40 - 11:10,
GEORGE ORANGE,,THEATRE AND CIRCUS,SATURDAY,13:45 - 14:15,
GEORGE ORANGE,,THEATRE AND CIRCUS,SUNDAY,10:40 - 11:10,
GEORGE ORANGE,,THEATRE AND CIRCUS,SUNDAY,13:45 - 14:15,
GERARD & THE WATCHMEN,http://www.davegerardmusic.com/,THE PARK,FRIDAY,17:00 - 17:40,
GERARD & THE WATCHMEN,http://www.davegerardmusic.com/,THE BANDSTAND,WEDNESDAY,20:30 - 21:25,
GERARD AND THE WATCHMEN,,GREEN FIELDS,SATURDAY,13:00 - 14:00,
GERARD AND THE WATCHMEN,,GREEN FIELDS,WEDNESDAY,19:00 - 20:00,
GERTIE AND HER GAIETY (LIVE),,THE PARK,FRIDAY,02:00 - 03:00,
GHETTO FUNK,http://ghettofunk.co.uk/,THE COMMON,FRIDAY,17:00 - 22:00,
"GHETTO FUNK ALLSTARS FT TIGERLIGHT, PROFIT&NATTY",www.ghettofunk.co.uk,SHANGRI-LA,SATURDAY,02:00 - 03:00,
GHOSTWRITERZ,https://soundcloud.com/unit137/ghost-writerz-rumours,SHANGRI-LA,SUNDAY,22:00 - 22:45,
GIANT TWISTER WITH MATT BARNARD,,THEATRE AND CIRCUS,FRIDAY,11:30 - 11:55,
GIANT TWISTER WITH MATT BARNARD,,THEATRE AND CIRCUS,SATURDAY,11:45 - 11:50,
GIANT TWISTER WITH MATT BARNARD,,THEATRE AND CIRCUS,SUNDAY,11:30 - 11:55,
GIBBER,,GLADE,THURSDAY,19:30 - 20:30,
GIBSON BULL,http://www.gibsonbull.co.uk/,AVALON,SUNDAY,11:30 - 12:10,"A finalist in this year’s Glastonbury Festival Emerging Talent Competition, this London based singer-songwriter fuses indie folk with trip hop for maximum atmosphere."
GIBSON BULL (ETC FINALIST),,THE PARK,THURSDAY,19:00 - 19:45,
GIDEON,,BLOCK9,SATURDAY,01:30 - 03:00,
GIGI SUTTON-TAYLOR,,OTHER,SUNDAY,15:00 - 15:30,
"GIRLS MUSIC WITH TODDLA T, MS DYNAMITE, ROBBO RANX, AC!D FACE, MELE & SLICK DON, DRS AND MORE",,THE PARK,SATURDAY,00:00 - 05:00,
GLAM STAN,,THEATRE AND CIRCUS,FRIDAY,12:30 - 14:50,
GLAM STAN,,THEATRE AND CIRCUS,FRIDAY,14:30 - 14:50,
GLAM STAN,,THEATRE AND CIRCUS,FRIDAY,17:30 - 17:50,
GLAM STAN,,THEATRE AND CIRCUS,SATURDAY,12:30 - 14:50,
GLAM STAN,,THEATRE AND CIRCUS,SATURDAY,14:30 - 14:50,
GLAM STAN,,THEATRE AND CIRCUS,SATURDAY,17:30 - 17:50,
GLAM STAN,,THEATRE AND CIRCUS,SUNDAY,12:30 - 14:50,
GLAM STAN,,THEATRE AND CIRCUS,SUNDAY,14:30 - 14:50,
GLAM STAN,,THEATRE AND CIRCUS,SUNDAY,17:30 - 17:50,
GLASS ANIMALS,http://glassanimals.eu/,SILVER HAYES,SUNDAY,16:30 - 16:55,"Hard to define trippy soul music, with tongue-tied wordplays from Dave Bayley who claims his songs sound like a “man-made wilderness.” Yeah, we get that. Definitely worth checking out."
GLASTONBURY FILM CHALLENGE,https://www.facebook.com/groups/617710041632756/,GLADE,FRIDAY,11:00 - 13:00,
GLASTONBURY FILM CHALLENGE,https://www.facebook.com/groups/617710041632756/,GLADE,SATURDAY,10:00 - 11:00,
