title,url,stage,day,time,description
ALEX HARDING,,CROISSANT NEUF BANDSTAND,FRIDAY,17:00 - 17:30,
ALEX HARDING,,CROISSANT NEUF BANDSTAND,SUNDAY,21:15 - 17:30,
ALEX KASSIAN,https://www.instagram.com/alex__kassian/?hl=en,SAN REMO,THURSDAY,17:00 - 18:30,
ALEX MILLS,https://www.instagram.com/blamealexmills/?hl=en,NOWHERE,FRIDAY,00:00 - 01:00,
ALEX NUT [15 YEARS OF EGLO],,FIRMLY ROOTED,FRIDAY,16:00 - 18:00,"Label catalyst bringing house, soul, boogie, funk, hip hop, broken beat, jazz and a variety of electronic sounds."
ALEX PRIDDICE,https://www.craigandalexpriddice.com,THE HIVE,SUNDAY,11:30 - 12:05,
ALEXANDER NUT,https://www.instagram.com/alexandernut/?hl=en,SAN REMO,SATURDAY,19:00 - 20:30,
ALEXANDRA HADDOW,https://www.instagram.com/alexandrahaddow/,GREENPEACE,WEDNESDAY,18:00 - 18:45,
ALEXANDRA HADDOW,https://linktr.ee/alexandrahaddow,CABARET,FRIDAY,22:35 - 23:05,
ALICE & ALICE,https://cocoloco.co.uk/,MAVERICKS,SATURDAY,00:34 - 00:42,
ALICE AND ALICE,https://www.facebook.com/cocoloco.co.uk/,WALKABOUTS,FRIDAY,16:45 - 17:30,
ALICE AND ALICE,https://www.facebook.com/cocoloco.co.uk/,WALKABOUTS,SATURDAY,16:45 - 17:30,
ALICE AND ALICE,https://www.facebook.com/cocoloco.co.uk/,WALKABOUTS,SUNDAY,16:45 - 17:30,
ALISHA B2B ARCHIE HAMILTON,,LEVELS,SATURDAY,19:30 - 21:00,House sounds with some sultry deep rumbling low-end bass.
"ALL OF US STRANGERS + Q&A  WITH PAUL MESCAL, ANDREW SCOTT  & DIRECTOR ANDREW HAIGH 15",https://www.imdb.com/title/tt21192142/,PILTON PALAIS CINEMA,FRIDAY,18:30 - 20:45,
ALMA TWIST,https://soundcloud.com/katrynaabel,LUNCHED OUT LIZARDS,SATURDAY,21:00 - 22:00,
ALMA TWIST,https://www.instagram.com/alma_twist/,WISHING WELL,SUNDAY,13:00 - 13:45,
ALMASS BADAT B2B ARTHI [DIALLED IN TAKEOVER],,LONELY HEARTS CLUB,THURSDAY,22:30 - 23:45,"International DJ, MC and broadcaster Almass Badat meets Arthi’s high-octane club sounds from dancehall to baile funk to garage, bassline and beyond."
ALMASS BADAT,https://www.instagram.com/almassbadat/,ARRIVALS,SATURDAY,00:00 - 01:00,
ALOGTE OHO & HIS SOUNDS OF JOY,https://leguesswho.com/lineup/alogte-oho-his-sounds-of-joy?referrer=search,WEST HOLTS STAGE,SATURDAY,14:30 - 15:30,"Rarely has a band lived up to its name as well as this Ghanian collective, fusing sinuous Afrofunk with glorious vocal harmonies."
ALTERN 8 / MARK ARCHER (BLENDID TAKEOVER),https://www.altern8official.com/,CORNISH ARMS,SATURDAY,01:30 - 03:00,
ALUCIDNATION,https://alucidnation.co.uk/,GLADE DOME,FRIDAY,11:30 - 12:45,"Scenic, panoramic soundscaping. Aural Architecture."
ALVVAYS,http://alvvays.com/,WOODSIES,SUNDAY,17:00 - 18:00,Melody driven alternative rock with often “pathetic perspectives” on life and a hint of singer Molly Rankin’s Celtic roots.
AMALIAH B2B DANIELLE,,ASSEMBLY,SATURDAY,20:00 - 22:00,"A wicked mix of rampant and rhythmic bass, techno and house from this duo who first teamed up at the tail end of last year."
AMALIAH,https://www.instagram.com/amaliahppeche/?hl=en,SAN REMO,THURSDAY,20:00 - 21:30,
AMANCAI & ARIAS,https://www.instagram.com/amancaidj/,MEZ YARD,FRIDAY,23:00 - 01:00,
AMANCAI,https://www.instagram.com/amancaidj/,PLATFORM 23,THURSDAY,23:00 - 00:00,
AMATEURISM,https://www.instagram.com/amateurismcollective/,SAN REMO,SATURDAY,11:30 - 13:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,THURSDAY,12:00 - 16:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,FRIDAY,12:00 - 16:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,SATURDAY,12:00 - 16:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,SUNDAY,12:00 - 16:00,
AMELIE LENS,https://www.instagram.com/amelie_lens,ARCADIA,FRIDAY,01:50 - 03:00,This performance features significant strobe lighting effects
AMINADABU,https://www.youtube.com/@aminadabu,TOAD HALL,SUNDAY,12:00 - 12:40,
AMY ALSOP,https://www.instagram.com/amyzing.alsop,CORNISH ARMS,FRIDAY,12:00 - 14:00,
AN AUDIENCE WITH ALEXEI SAYLE,,CABARET,SUNDAY,12:00 - 12:55,
AN AUDIENCE WITH DOC BROWN,https://www.docbrown.co.uk,CABARET,FRIDAY,17:45 - 18:25,
AN DANNSA DUB,https://www.andannsadub.com/,PEACE STAGE,THURSDAY,23:30 - 00:15,
AN DANNSA DUB,https://www.andannsadub.com/,WISHING WELL,SATURDAY,01:00 - 02:00,
AN DANNSA DUB,https://www.andannsadub.com/,GLADE,SUNDAY,12:55 - 13:55,Six-piece live band fusing the mystical energy and instruments of traditional Scottish music and Gaelic song with the heavy driving basslines of digital dub.
"AN EVENING IN WITH RIMSKI & HANDKERCHIEF - SPECIAL GUESTS: DANIEL GONCALVES, LARRY LONGHORN & HIS TROMBOLELE, OLD TIME RAGS, MATTHEW ONE MAN & ORLY ROSE",https://www.rimskipiano.org/,RIMSKI'S YARD,THURSDAY,22:00 - 00:00,
"AN EVENING IN WITH RIMSKI & HANDKERCHIEF - SPECIAL GUESTS: DANIMAL CRACKERS, INDIA BLUE, JAKE RODRIGUES, ORLY ROSE",https://www.rimskipiano.org/,RIMSKI'S YARD,SUNDAY,22:00 - 02:30,
"AN EVENING IN WITH RIMSKI & HANDKERCHIEF - SPECIAL GUESTS: JULIAN GASKEL & HIS RAGGED TROUSERED PHILANTHROPISTS, FRASER HOOPER & RHIANNON",https://www.rimskipiano.org/,RIMSKI'S YARD,FRIDAY,22:00 - 00:00,
AN EVENING IN WITH RIMSKI & HANDKERCHIEF - SPECIAL GUESTS: SWINGLETREE & NUALA,https://www.rimskipiano.org/,RIMSKI'S YARD,SATURDAY,22:00 - 00:00,
AN EVENING WITHOUT KATE BUSH,https://www.withoutkatebush.com/,THE ASTROLABE THEATRE,SATURDAY,18:45 - 19:55,
AN EVENING WITHOUT KATE BUSH,https://www.withoutkatebush.com/,THE ASTROLABE THEATRE,SUNDAY,18:50 - 20:00,
ANA ROXANNE,https://anaroxanne.bandcamp.com,TREE STAGE,THURSDAY,21:55 - 22:50,"Embodying the radiance of R&B vocalists, the immaculateness of church hymns, and the soul-stirring power of devotional music, Ana Roxanne makes incredibly intimate pieces of music that combine meditative drone, calming ambient soundscapes, and angelic vocals."
"ANCIENT SOUNDS & MODERN TECHNO - PERFORMANCE AND DISCUSSION (JJ MIDDLEWAY, DANICA BOYCE, ALEX NUNNES)",https://www.glastonburyfestivals.co.uk/areas/the-common/temple-talks-2/,TEMPLE UPRISING,FRIDAY,13:30 - 14:15,
AND WHAT,,KINETIC,THURSDAY,17:30 - 18:30,
ANDREW HARRISON,https://www.podmasters.co.uk/,CORNISH ARMS,SUNDAY,18:00 - 19:00,
ANDREW MAXWELL MORRIS,https://linktr.ee/andrewmmorris,SMALL WORLD STAGE,FRIDAY,13:10 - 14:10,
ANDREW MAXWELL MORRIS,https://www.instagram.com/andrewmmorris/,MANDALA STAGE,THURSDAY,13:00 - 14:00,
ANDREW O'NEILL - THE HISTORY OF HEAVY METAL,,CABARET,SUNDAY,22:05 - 22:45,
ANDREW O'NEILL,https://www.andrewoneill.co.uk,LABORATORY STAGE,SATURDAY,16:00 - 16:45,
ANDY AND THE ODD SOCKS,https://andyandtheoddsocks.com,KIDZFIELD BIG TOP,FRIDAY,10:15 - 10:50,
ANDY AND THE ODD SOCKS,https://andyandtheoddsocks.com,KIDZFIELD BIG TOP,SATURDAY,17:50 - 18:25,
ANDY AND THE ODD SOCKS,https://andyandtheoddsocks.com,KIDZFIELD BIG TOP,SUNDAY,12:15 - 12:50,
ANDY BLAKE,,STONEBRIDGE BAR,SUNDAY,22:00 - 23:00,
ANDY BURNHAM WITH JOHN HARRIS,,SPEAKERS FORUM,SATURDAY,11:00 - 12:00,
ANDY C FT TONN PIPER,https://www.instagram.com/andyc_ramagram,ARCADIA,SUNDAY,01:30 - 02:30,This performance features significant strobe lighting effects
ANDY CARROLL HOUSE & ELECTRO SET,https://www.instagram.com/andycarrolldj/,STRUMMERVILLE,SATURDAY,00:00 - 07:12,
ANDY CATO B2B SPOOKY CASH CASH,https://www.instagram.com/spookycashcash/?ref=wa-cube https://www.instagram.com/groovearmada/,THE BUG,SUNDAY,17:00 - 18:00,
ANDY HATMAN,https://www.andyhatman.co.uk,THE TAPHOUSE,THURSDAY,23:30 - 01:00,
ANDY HATMAN,https://www.andyhatman.co.uk,THE TAPHOUSE,FRIDAY,01:00 - 03:00,
ANDY HATMAN,https://www.andyhatman.co.uk,THE TAPHOUSE,SUNDAY,23:00 - 01:00,
ANDY P,https://www.mixcloud.com/andypyett/,DELUXE DINER,SATURDAY,01:30 - 03:00,
ANDY PARSONS,,CABARET,FRIDAY,14:35 - 15:15,
ANDY QUICK BAND,https://andyquickmusic.com,LABORATORY STAGE,FRIDAY,18:00 - 19:00,
ANDY ZOUTR,,WEST HOLTS BAR,FRIDAY,02:10 - 03:00,
ANGEL D’LITE,https://www.instagram.com/angel_d_lite/,ARRIVALS,SATURDAY,04:00 - 05:00,
ANGIE MCMAHON,https://www.instagram.com/angiemcmahon/?hl=en,ACOUSTIC STAGE,FRIDAY,13:00 - 13:40,Assured Australian singer songwriter with a bittersweet line in melancholy underpinning her storylines.
ANIL,https://www.instagram.com/anil_c/,ARRIVALS,THURSDAY,00:00 - 01:00,
ANIMA BLOOM,,MANDALA STAGE,FRIDAY,14:00 - 15:00,
ANISH KUMAR,https://www.instagram.com/anishkumaruk/,ARRIVALS,SUNDAY,00:00 - 01:00,
ANNA CAMPEAU DJ,,STRUMMERVILLE,SATURDAY,12:00 - 14:00,
ANNA PRANK,https://www.instagram.com/annaprank_dj?igsh=mtzzddvzmwgwyzdynq==,THE SALON CAROUSEL,SUNDAY,03:00 - 04:00,
ANNA PRANK,https://www.instagram.com/annaprank_dj/,BLIND TIGER,FRIDAY,01:00 - 02:00,
ANNA PRIOR,https://www.instagram.com/annaprior,SCISSORS,FRIDAY,03:30 - 04:30,
ANNA WALL B2B BOBBY. [25 YEARS OF FABRIC],,ASSEMBLY,SUNDAY,12:00 - 14:00,The new Fabric London resident back to back with Bobby kicking off this Fabric anniversary.
ANNE-MARIE,http://iamannemarie.com/,OTHER STAGE,FRIDAY,18:45 - 19:45,The wonderfully self-deprecating R&B dance pop star and highlight of The Voice.
ANNIE MAC - BEFORE MIDNIGHT W/ BESTLEY + SCARLETT O’MALLEY,https://www.instagram.com/anniemacmanus/,STONEBRIDGE BAR,FRIDAY,19:00 - 00:00,
ANNIE MAC,https://www.anniemacmanus.com/,OTHER STAGE,FRIDAY,11:30 - 12:30,"The internationally renowned DJ, author and host of Before Midnight events opens proceedings early, setting the right mood for the weekend."
ANOLAH AN ZEE BONEZ (LIVE),https://www.instagram.com/anolahandthebonez/,BLIND TIGER,SUNDAY,14:00 - 15:00,
ANOLAH AND THE BONEZ,,RIMSKI'S YARD,SATURDAY,20:00 - 21:00,
ANOLAH AND THE BONEZ,https://www.instagram.com/anolahandthebonez,BIMBLE INN,FRIDAY,15:15 - 16:00,
ANOLAH,,WEST HOLTS BAR,SATURDAY,17:00 - 17:30,
ANOTR,,LEVELS,FRIDAY,21:30 - 23:00,"Blending, mixing, and compiling music into something you’ve never heard before while redefining house music."
ANTIKVARINIAI KASPIROVSKIO DANTYS,https://antikvariniaikaspirovskiodantys.lt/,TOAD HALL,SATURDAY,00:30 - 01:30,
ANTIKVARINIAI KASPIROVSKIO DANTYS,,LUNCHED OUT LIZARDS,SUNDAY,21:00 - 22:00,
ANTONY SZMIEREK,,BBC MUSIC INTRODUCING,SUNDAY,17:30 - 18:00,"Boasting a hip hop flow with his trademark, dynamic lyricism, an indie hip hop spoken wordsmith and champion of vocabulary."
ANTONY SZMIEREK,https://www.instagram.com/antonyszmierek/,WEST HOLTS BAR,THURSDAY,19:10 - 19:55,
ANTONY SZMIEREK,,LONELY HEARTS CLUB,SATURDAY,16:30 - 17:15,"Boasting a hip hop flow with his trademark, dynamic lyricism, an indie hip hop spoken wordsmith and champion of vocabulary."
ANYONE FOR TENNIS,https://www.foolsparadise.co.uk/,WALKABOUTS,FRIDAY,15:00 - 15:45,
ANYONE FOR TENNIS,https://www.foolsparadise.co.uk/,WALKABOUTS,FRIDAY,11:10 - 11:55,
ANYONE FOR TENNIS,https://www.foolsparadise.co.uk/,WALKABOUTS,SATURDAY,15:00 - 15:45,
ANYONE FOR TENNIS,https://www.foolsparadise.co.uk/,WALKABOUTS,SATURDAY,11:10 - 11:55,
ANYONE FOR TENNIS,https://www.foolsparadise.co.uk/,WALKABOUTS,SUNDAY,15:00 - 15:45,
ANYONE FOR TENNIS,https://www.foolsparadise.co.uk/,WALKABOUTS,SUNDAY,11:10 - 11:55,
APIENTO,,FIRMLY ROOTED,FRIDAY,00:00 - 01:00,Test Pressing blogger and esoteric DJ.
APPROACHING TIPPING POINTS - PROF TIM LENTON WITH JUSTIN ROWLATT,,SPEAKERS FORUM,FRIDAY,17:00 - 18:00,
ARCADIA AND THE WADJUK NOONGAR - WARRALOO CEREMONY,,ARCADIA,FRIDAY,23:30 - 23:40,This performance features significant strobe lighting effects
ARCADIA AND THE WADJUK NOONGAR - WARRALOO CEREMONY,,ARCADIA,SATURDAY,23:35 - 23:45,This performance features significant strobe lighting effects
ARCADIA AND THE WADJUK NOONGAR - WARRALOO CEREMONY,,ARCADIA,SUNDAY,23:30 - 23:40,This performance features significant strobe lighting effects
ARCTIC 30: ON THIN ICE PUTIN VS GREENPEACE,,GREENPEACE (BEAM),THURSDAY,10:30 - 11:30,
ARE CLIMATE EXPERTS PART OF THE CLIMATE PROBLEM ? - KEVIN ANDERSON WITH ALICE LARKIN,,SPEAKERS FORUM,SUNDAY,12:00 - 13:00,
AREA 51,https://www.area51.co,OUTSIDE CIRCUS STAGE,FRIDAY,00:37 - 00:49,
AREA 51,https://www.area51.co,OUTSIDE CIRCUS STAGE,SATURDAY,00:44 - 00:54,
AREA 51,https://www.area51.co,OUTSIDE CIRCUS STAGE,SATURDAY,00:16 - 00:26,
AREA 51,https://www.area51.co,OUTSIDE CIRCUS STAGE,SUNDAY,00:40 - 00:52,
AREA 51,https://www.area51.co,OUTSIDE CIRCUS STAGE,SUNDAY,00:10 - 00:22,
ARIELLE FREE B2B TBA,,BBC MUSIC INTRODUCING,THURSDAY,21:00 - 22:00,
ARIELLE FREE,,LEVELS,SATURDAY,16:30 - 18:00,Radio 1 DJ and Love Island Morning After host.
ARIES,https://www.instagram.com/aries_jungle?igsh=mwhxczq5zmq5bhpxmg==,THE SALON CAROUSEL,FRIDAY,02:00 - 03:00,
ARLO B2B LULAH FRANCS,,LEVELS,SATURDAY,12:00 - 13:30,Arlo’s drum and bass colliding with Lulah’s electronic breaks.
ARLO PARKS,https://www.arloparksofficial.com/,WOODSIES,FRIDAY,18:00 - 19:00,Award-winning poetic storytelling with an emotional resonance that’s unflinchingly sincere and personal.
AROOJ AFTAB,https://www.aroojaftab.com/,THE PARK STAGE,SATURDAY,16:30 - 17:30,Gorgeous Urdu-infused dream pop with an intriguing mix of instruments from this Pakistani vocalist.
ARRIVALS TAKEOVER: BAALTI,https://www.instagram.com/baalti.mp3/,WISHING WELL,SATURDAY,17:00 - 17:45,
ARRIVALS TAKEOVER: BHANGRA ALL STARS,https://www.instagram.com/bobbyfricton/,WISHING WELL,SATURDAY,18:15 - 19:00,
ARRIVALS TAKEOVER: JASMINE JETHWA,https://www.instagram.com/jasminejethwa_/,WISHING WELL,SATURDAY,13:45 - 14:15,
ARRIVALS TAKEOVER: PIA COLLADA (DJ SET),https://www.instagram.com/piacollada/?hl=en-gb,WISHING WELL,SATURDAY,17:45 - 18:15,
ARRIVALS TAKEOVER: PIA COLLADA (DJ SET),https://www.instagram.com/piacollada/?hl=en-gb,WISHING WELL,SATURDAY,16:45 - 17:00,
ARRIVALS TAKEOVER: RI MISTRY (DJ SET),https://www.instagram.com/riyanathebanana/,WISHING WELL,SATURDAY,15:00 - 15:15,
ARRIVALS TAKEOVER: RI MISTRY (DJ SET),https://www.instagram.com/riyanathebanana/,WISHING WELL,SATURDAY,14:15 - 14:30,
ARRIVALS TAKEOVER: RI MISTRY (DJ SET),https://www.instagram.com/riyanathebanana/,WISHING WELL,SATURDAY,13:30 - 13:45,
ARRIVALS TAKEOVER: SHIVUM SHARMA,https://www.instagram.com/s.hivum/,WISHING WELL,SATURDAY,13:00 - 13:30,
ARRIVALS TAKEOVER: TARA LILY,https://www.instagram.com/taralilymood/,WISHING WELL,SATURDAY,14:30 - 15:00,
ARRIVALS TAKEOVER: USTAD NOOR BAKHSH,https://www.instagram.com/noorbenju/,WISHING WELL,SATURDAY,15:15 - 16:45,
ART WORKSHOP,,ATCHIN TAN,SATURDAY,15:30 - 17:00,
ARTEMIS FT. RUTHLESS,,THE TEMPLE,SATURDAY,23:00 - 00:00,
ARTHI - RINSE 30TH ANNIVERSARY,https://www.instagram.com/arthi.nachiappan/,THE TEMPLE,FRIDAY,22:00 - 23:00,
ARTHI - VILLAGE CUTS TAKEOVER,https://www.instagram.com/arthi.nachiappan/,BABYLON UPRISING,THURSDAY,17:00 - 18:00,
ARTIFICIAL INTELLIGENCE WTF? (Q&A WITH ERIC DRASS),https://www.shardcore.org/spx/,LABORATORY STAGE,SATURDAY,18:00 - 19:00,
ARXX,https://www.instagram.com/fulumusic,GREENPEACE,THURSDAY,13:45 - 14:30,
ARXX,,BBC MUSIC INTRODUCING,FRIDAY,16:30 - 17:00,Alt rock gal pal duo playing pert pop songs with great hooks and a nod to alternative hip hop and rap. Great videos too.
ASH MANDRAKE AND JENNY BLISS,https://www.youtube.com/@ashmandrake3465,MANDALA STAGE,THURSDAY,14:30 - 15:30,
ASHA GOLD,https://www.instagram.com/ashagoldmusic/,BREAD AND ROSES,SUNDAY,13:00 - 14:00,
